elevation,diff_azimuth,Carrier-to-noise density ratio (cno) [dbHz],Estimated pseudorange measurement standard deviation (prStdev) [m],"NLOS (0 == no, 1 == yes, # == No Information)"
32.10791634,50.18921913810362,26,1.28,1
28.51100362,26.75872941153861,29,1.28,1
33.79200967,77.6877225812919,38,0.32,1
34.73695996,12.261158693304589,44,0.32,1
33.41656656,50.05886459473402,20,20.48,1
70.12244617,31.68163111875796,20,20.48,1
53.17675525,50.832780418477626,30,20.48,1
17.80767112,54.407494532972464,26,10.24,1
25.86730966,7.81486379601381,34,10.24,1
29.82138091,82.99104918290766,34,20.48,1
46.19366762,72.16414761175525,19,20.48,1
44.10390428,38.08817387475119,43,0.32,1
30.06239767,1.0962244992240358,26,10.24,1
43.20163326,85.46943388675717,29,2.56,1
18.20464053,12.448015908647562,34,5.12,1
45.35532353,49.80707238765905,26,10.24,1
33.54623971,87.9980591790117,36,5.12,1
34.27828233,59.69158148243616,28,5.12,1
34.58226617,49.22659967835256,35,5.12,1
34.2026233,13.707365231642946,44,0.32,1
13.6701308,5.438501623178127,32,1.28,1
31.65023421,40.95277344466223,35,10.24,1
37.01211039,5.643919609672793,28,20.48,1
70.97158284,16.463270151694644,24,20.48,1
33.92979931,76.53865361571735,34,10.24,1
14.93269045,60.60466459726808,31,20.48,1
51.43054712,48.85325847391212,29,5.12,1
56.07575424,27.23197810982782,31,2.56,1
10.88276654,48.74597146431444,37,5.12,1
26.56677638,12.228724030465573,45,1.28,1
13.69849654,80.89491172085735,38,10.24,1
37.30798837,48.04679916078626,27,10.24,1
9.998030826,70.09714162358722,25,20.48,1
33.46346609,64.92512753095599,22,40.96,1
26.96508412,80.7880669526196,27,10.24,1
37.51587006,6.250582881202888,37,10.24,1
32.04439381,49.60804478841669,27,20.48,1
57.16190586,12.87030815514737,25,20.48,1
85.43469878,75.08275267450233,36,2.56,1
52.52604177,39.36398622825695,36,0.64,1
33.56004002,22.39795706198444,21,40.96,1
67.14363057,77.19175127976465,30,10.24,1
24.80442473,68.49434969245604,22,40.96,1
30.39132711,5.208816190169159,27,10.24,1
29.25090976,0.968879473281163,34,20.48,1
59.4884756,80.21999431734378,27,10.24,1
27.57208624,29.947838781914456,33,1.28,1
68.49655249,27.057315013279407,39,10.24,1
6.609229565,59.168893935572015,22,5.12,1
41.10845332,84.9023343052034,29,20.48,1
5.266245063,1.567466894475757,25,10.24,1
76.47908549,60.95366652743627,30,10.24,1
39.57446275,30.546274566742625,37,20.48,1
74.34734855,14.30990447559941,38,10.24,1
53.99875087,37.95612844528688,29,20.48,1
25.58567997,8.692692862548967,26,10.24,1
42.60176435,86.65868711821247,19,20.48,1
27.55787576,11.369545364344162,34,10.24,1
21.99893792,49.75811632958727,36,10.24,1
37.76735828,6.90958959102565,38,0.32,1
24.14618392,56.18470241023448,36,0.64,1
24.51882718,11.269050929985298,35,1.28,1
50.59013902,35.28772397271567,26,10.24,1
65.35017067,6.683621216905806,26,5.12,1
13.67901758,82.55408600778162,36,20.48,1
8.440109599,35.686190994541164,34,10.24,1
30.66123415,43.62730586336397,22,20.48,1
37.76735823,6.902920467421296,24,5.12,1
30.66123415,43.531279490105874,36,10.24,1
49.10329367,59.02837496191867,30,10.24,1
6.958019689,58.69120954942747,33,1.28,1
33.92979867,77.51822096908626,40,0.64,1
47.24619464,70.91930244189052,27,5.12,1
20.40938642,45.62401128132024,23,40.96,1
42.44662978,1.95950818626352,32,5.12,1
70.22107824,82.86715665847339,45,0.32,1
24.22145384,64.45756544918837,33,10.24,1
25.68437459,80.73513862610605,27,1.28,1
59.96677054,86.79514935721616,27,20.48,1
69.64934308,28.14128705318801,26,10.24,1
69.97408532,29.986676515374302,42,0.64,1
34.87089399,60.43802219458877,30,5.12,1
40.58291269,45.886568165099504,21,20.48,1
21.76015895,78.79832474315134,31,5.12,1
33.80628945,44.28628570045828,31,10.24,1
41.74992209,87.25381956169346,41,20.48,1
52.77126545,42.55700732511852,26,10.24,1
64.75193222,82.13142670493315,29,10.24,1
51.80840192,4.276188185414071,38,81.92,1
60.67628841,88.82918537372632,26,20.48,1
40.13851039,42.63220036239634,31,10.24,1
76.55370305,85.48931817786445,35,10.24,1
34.08080802,60.00781904634135,21,20.48,1
5.30221331,22.493855412786274,35,1.28,1
27.36449006,5.160509013760247,29,10.24,1
41.9897862,12.030260662179558,28,1.28,1
21.04316266,20.467407414865704,42,2.56,1
49.10329384,51.32104834845976,29,2.56,1
51.93154584,49.303582889009135,40,10.24,1
27.49607162,83.28620155954121,35,10.24,1
8.182084094,26.95011683120734,40,0.32,1
59.95461072,11.580338395393994,28,40.96,1
63.85440101,9.069433610370169,29,1.28,1
44.90964073,28.480348504420988,30,10.24,1
47.17683488,5.206512004762004,31,10.24,1
24.36542864,56.54439983503215,11,40.96,1
24.78308537,43.54368432421114,36,40.96,1
23.771208,11.101063771747278,31,20.48,1
20.33552679,75.60102356246745,37,10.24,1
23.87943453,41.40960302594101,33,1.28,1
31.84742334,47.74288742949199,24,20.48,1
35.26612038,60.27572446105461,35,5.12,1
34.67332551,60.348995593455584,33,1.28,1
61.75324005,0.4147295869831851,30,10.24,1
60.67199053,33.75524702575838,30,20.48,1
20.14133165,1.195710238959748,35,5.12,1
67.14363055,66.9746962596933,33,10.24,1
38.92648531,71.2191658617757,37,10.24,1
29.25090971,7.655753241092214,14,40.96,1
68.46912053,50.73648077769133,31,20.48,1
39.85212528,87.95027629055312,33,1.28,1
27.74720816,53.28415034682781,36,10.24,1
38.52011258,7.344414719102019,20,20.48,1
33.30511564,19.81316161538173,46,0.32,1
32.6241347,10.897197616908043,29,10.24,1
19.06733415,41.77698638118335,36,5.12,1
13.50678478,31.292349758740272,37,10.24,1
23.48949138,55.20298719686068,22,20.48,1
37.76735839,7.213830804338528,27,2.56,1
56.07575425,27.23475490189054,31,2.56,1
