GPSWeek [weeks],GPSSecondsOfWeek [s],Carrier-to-noise density ratio (cno) [dbHz],"NLOS (0 == no, 1 == yes, # == No Information)"
1900,126641.49999997084,50,0
1900,126641.49999997084,39,0
1900,126641.49999997084,28,1
1900,126641.49999997084,43,0
1900,126641.49999997084,21,1
1900,126641.49999997084,31,1
1900,126641.49999997084,45,0
1900,126641.49999997084,34,0
1900,126641.49999997084,50,1
1900,126641.49999997084,23,1
1900,126641.49999997084,26,1
1900,126641.49999997084,39,0
1900,126641.49999997084,48,0
1900,126641.49999997084,46,0
1900,126641.49999997084,34,1
1900,126641.49999997084,40,1
1900,126641.49999997084,29,1
1900,126641.49999997084,45,0
1900,126641.49999997084,38,1
1900,126641.69999997084,49,0
1900,126641.69999997084,40,0
1900,126641.69999997084,28,1
1900,126641.69999997084,43,0
1900,126641.69999997084,21,1
1900,126641.69999997084,38,1
1900,126641.69999997084,45,0
1900,126641.69999997084,37,0
1900,126641.69999997084,50,1
1900,126641.69999997084,23,1
1900,126641.69999997084,25,1
1900,126641.69999997084,43,0
1900,126641.69999997084,46,0
1900,126641.69999997084,50,0
1900,126641.69999997084,35,1
1900,126641.69999997084,38,0
1900,126641.69999997084,29,1
1900,126641.69999997084,46,0
1900,126641.69999997084,41,1
1900,126641.99999997084,49,0
1900,126641.99999997084,45,0
1900,126641.99999997084,32,1
1900,126641.99999997084,46,0
1900,126641.99999997084,21,1
1900,126641.99999997084,30,1
1900,126641.99999997084,45,0
1900,126641.99999997084,38,0
1900,126641.99999997084,48,1
1900,126641.99999997084,23,1
1900,126641.99999997084,50,0
1900,126641.99999997084,35,1
1900,126641.99999997084,41,0
1900,126641.99999997084,35,1
1900,126641.99999997084,36,0
1900,126641.99999997084,21,1
1900,126641.99999997084,46,0
1900,126641.99999997084,40,1
1900,126642.19999997084,49,0
1900,126642.19999997084,47,0
1900,126642.19999997084,28,1
1900,126642.19999997084,48,0
1900,126642.19999997084,21,1
1900,126642.19999997084,34,1
1900,126642.19999997084,46,0
