PRN, Elevation, Azimuth, Longitude, Latitude, Height
2,21.98251271,123.0244027,13.37365774,52.50456022,76.0045786
6,27.28865817,75.8464801,13.37365774,52.50456022,76.0045786
12,85.13398481,-23.08468573,13.37365774,52.50456022,76.0045786
14,32.53906053,-57.31176859,13.37365774,52.50456022,76.0045786
17,7.730747057,41.42286573,13.37365774,52.50456022,76.0045786
19,30.21269784,50.25038766,13.37365774,52.50456022,76.0045786
24,50.59013994,146.2110157,13.37365774,52.50456022,76.0045786
25,48.10127481,-92.66967502,13.37365774,52.50456022,76.0045786
29,14.49513372,-154.9250213,13.37365774,52.50456022,76.0045786
32,35.44660893,-69.24277773,13.37365774,52.50456022,76.0045786
41,18.59667846,-77.67322225,13.37365774,52.50456022,76.0045786
42,17.75144428,-21.09726094,13.37365774,52.50456022,76.0045786
50,76.74888004,48.80669175,13.37365774,52.50456022,76.0045786
59,41.1536966,42.68595786,13.37365774,52.50456022,76.0045786
60,58.05533462,138.0314656,13.37365774,52.50456022,76.0045786
61,17.52735208,-178.0321439,13.37365774,52.50456022,76.0045786
2,21.98251269,123.0244027,13.37366277,52.50457007,76.01093368
6,27.28865815,75.8464801,13.37366277,52.50457007,76.01093368
12,85.13398481,-23.08468573,13.37366277,52.50457007,76.01093368
14,32.53906052,-57.31176859,13.37366277,52.50457007,76.01093368
17,7.730747043,41.42286573,13.37366277,52.50457007,76.01093368
19,30.21269783,50.25038766,13.37366277,52.50457007,76.01093368
24,50.59013993,146.2110157,13.37366277,52.50457007,76.01093368
25,48.1012748,-92.66967502,13.37366277,52.50457007,76.01093368
29,14.4951337,-154.9250213,13.37366277,52.50457007,76.01093368
32,35.44660891,-69.24277773,13.37366277,52.50457007,76.01093368
41,18.59667845,-77.67322225,13.37366277,52.50457007,76.01093368
42,17.75144426,-21.09726094,13.37366277,52.50457007,76.01093368
50,76.74888004,48.80669175,13.37366277,52.50457007,76.01093368
59,41.15369658,42.68595786,13.37366277,52.50457007,76.01093368
60,58.05533461,138.0314656,13.37366277,52.50457007,76.01093368
61,17.52735207,-178.0321439,13.37366277,52.50457007,76.01093368
2,21.98251267,123.0244027,13.37367064,52.50458528,76.02090102
6,27.28865813,75.8464801,13.37367064,52.50458528,76.02090102
12,85.13398481,-23.08468573,13.37367064,52.50458528,76.02090102
14,32.5390605,-57.31176859,13.37367064,52.50458528,76.02090102
17,7.73074702,41.42286573,13.37367064,52.50458528,76.02090102
19,30.2126978,50.25038766,13.37367064,52.50458528,76.02090102
24,50.59013991,146.2110157,13.37367064,52.50458528,76.02090102
25,48.10127478,-92.66967502,13.37367064,52.50458528,76.02090102
29,14.49513368,-154.9250213,13.37367064,52.50458528,76.02090102
32,35.44660889,-69.24277773,13.37367064,52.50458528,76.02090102
41,18.59667842,-77.67322225,13.37367064,52.50458528,76.02090102
42,17.75144424,-21.09726094,13.37367064,52.50458528,76.02090102
50,76.74888003,48.80669175,13.37367064,52.50458528,76.02090102
59,41.15369656,42.68595786,13.37367064,52.50458528,76.02090102
60,58.05533459,138.0314656,13.37367064,52.50458528,76.02090102
61,17.52735204,-178.0321439,13.37367064,52.50458528,76.02090102
2,21.98251265,123.0244027,13.3736761,52.50459543,76.0277936
6,27.28865812,75.8464801,13.3736761,52.50459543,76.0277936
12,85.13398481,-23.08468573,13.3736761,52.50459543,76.0277936
14,32.53906048,-57.31176859,13.3736761,52.50459543,76.0277936
17,7.730747005,41.42286573,13.3736761,52.50459543,76.0277936
