Carrier-to-noise density ratio (cno) [dbHz],Estimated pseudorange measurement standard deviation (prStdev) [m],"NLOS (0 == no, 1 == yes, # == No Information)"
47,0.32,0
36,0.64,0
33,1.28,1
24,5.12,1
47,0.32,0
36,0.64,1
36,0.64,0
35,0.64,0
32,2.56,1
33,1.28,1
49,0.32,1
48,0.32,0
38,0.64,0
47,0.32,0
30,1.28,1
42,0.32,0
49,0.32,0
47,0.32,0
36,0.64,0
33,1.28,1
24,5.12,1
47,0.32,0
36,0.64,1
36,0.64,0
34,1.28,0
32,2.56,1
33,1.28,1
49,0.32,1
48,0.32,0
38,0.64,0
47,0.32,0
30,1.28,1
42,0.32,0
49,0.32,0
47,0.32,0
37,0.64,0
33,1.28,1
24,10.24,1
47,0.32,0
36,0.64,1
35,0.64,0
34,1.28,0
32,2.56,1
33,1.28,1
49,0.32,1
48,0.32,0
38,0.32,0
47,0.32,0
30,1.28,1
42,0.32,0
49,0.32,0
47,0.32,0
37,0.64,0
33,1.28,1
24,10.24,1
47,0.32,0
36,0.64,1
35,0.64,0
34,1.28,0
32,2.56,1
34,1.28,1
49,0.32,1
47,0.32,0
38,0.32,0
47,0.32,0
30,1.28,1
42,0.32,0
49,0.32,0
47,0.32,0
37,0.64,0
34,1.28,1
23,10.24,1
47,0.32,0
36,0.64,1
35,0.64,0
33,1.28,0
32,2.56,1
34,1.28,1
49,0.32,1
47,0.32,0
38,0.64,0
47,0.32,0
30,1.28,1
42,0.32,0
49,0.32,0
47,0.32,0
37,0.64,0
34,1.28,1
23,10.24,1
47,0.32,0
36,0.64,1
35,0.64,0
33,1.28,0
32,2.56,1
34,1.28,1
49,0.32,1
47,0.32,0
38,0.32,0
47,0.32,0
29,1.28,1
42,0.32,0
49,0.32,0
47,0.32,0
37,0.64,0
34,1.28,1
23,10.24,1
47,0.32,0
36,0.64,1
35,0.64,0
33,1.28,0
32,2.56,1
34,1.28,1
49,0.32,0
47,0.32,0
38,0.32,0
47,0.32,0
29,1.28,1
42,0.32,0
49,0.32,0
47,0.32,0
37,0.64,0
35,1.28,1
47,0.32,0
36,0.64,1
35,0.64,0
32,1.28,0
32,2.56,1
34,1.28,1
49,0.32,0
47,0.32,0
38,0.64,0
47,0.32,0
29,1.28,1
42,0.32,0
49,0.32,0
47,0.32,0
37,0.64,0
35,1.28,1
46,0.32,0
36,0.64,1
35,0.64,0
32,1.28,0
32,2.56,1
34,1.28,1
49,0.32,0
47,0.32,0
39,0.64,0
47,0.32,0
29,1.28,1
42,0.32,0
49,0.32,0
47,0.32,0
37,0.64,0
36,1.28,1
46,0.32,0
36,0.64,1
35,0.64,0
32,1.28,0
31,2.56,1
34,1.28,1
49,0.32,0
47,0.32,0
39,0.64,0
47,0.32,0
29,1.28,1
42,0.32,0
49,0.32,0
47,0.32,0
37,0.64,0
36,0.64,1
46,0.32,0
36,0.64,1
35,0.64,0
31,1.28,0
31,2.56,1
34,1.28,1
49,0.32,0
48,0.32,0
39,0.32,0
47,0.32,0
29,1.28,1
42,0.32,0
49,0.32,0
48,0.32,0
37,0.64,0
36,0.64,1
46,0.32,0
36,0.64,1
35,0.64,0
31,1.28,0
31,2.56,1
34,1.28,1
49,0.32,0
48,0.32,0
39,0.32,0
47,0.32,0
29,1.28,1
42,0.32,0
49,0.32,0
48,0.32,0
37,0.64,0
36,1.28,1
46,0.32,0
36,0.64,1
35,0.64,0
31,1.28,0
31,2.56,1
34,1.28,1
49,0.32,0
48,0.32,0
39,0.32,0
46,0.32,0
30,0.64,1
42,0.32,0
49,0.32,0
48,0.32,0
38,0.64,0
36,1.28,1
46,0.32,0
36,0.64,1
35,0.64,0
30,2.56,0
31,2.56,1
34,1.28,1
49,0.32,0
48,0.32,0
39,0.32,0
46,0.32,0
29,1.28,1
42,0.32,0
49,0.32,0
48,0.32,0
38,0.64,0
