elevation,diff_azimuth,Carrier-to-noise density ratio (cno) [dbHz],Estimated pseudorange measurement standard deviation (prStdev) [m],"NLOS (0 == no, 1 == yes, # == No Information)"
40.6442962,8.690863101060074,47,0.32,0
22.39254393,40.54508429893991,36,0.64,0
58.0242119,1.81504094106009,33,1.28,1
30.71982419,2.189023311060112,24,5.12,1
17.85761418,69.76878891106008,47,0.32,0
79.60668277,37.36228411106009,36,0.64,1
47.64281941,50.39818858893992,36,0.64,0
27.86997919,45.14661121106008,35,0.64,0
25.3968243,8.759840188939904,32,2.56,1
11.01904402,40.56813171106012,33,1.28,1
13.19326345,89.02067788893993,49,0.32,1
47.13883658,42.7214564110601,48,0.32,0
8.521866157,52.3154178689399,38,0.64,0
59.60932744,31.448356448939904,47,0.32,0
57.87755748,78.83045948893991,30,1.28,1
,,42,0.32,0
,,49,0.32,0
40.6442962,8.69128148849967,47,0.32,0
22.39254393,40.54466591150032,36,0.64,0
58.0242119,1.815459328499685,33,1.28,1
30.71982419,2.1894416984997065,24,5.12,1
17.85761418,69.76920729849968,47,0.32,0
79.60668277,37.36270249849969,36,0.64,1
47.64281941,50.39777020150032,36,0.64,0
27.86997919,45.14702959849967,34,1.28,0
25.3968243,8.75942180150031,32,2.56,1
11.01904402,40.56855009849971,33,1.28,1
13.19326345,89.02025950150033,49,0.32,1
47.13883658,42.7218747984997,48,0.32,0
8.521866157,52.31499948150031,38,0.64,0
59.60932744,31.44793806150031,47,0.32,0
57.87755748,78.83004110150031,30,1.28,1
,,42,0.32,0
,,49,0.32,0
40.6442962,8.689864781200924,47,0.32,0
22.39254394,40.54608261879906,37,0.64,0
58.0242119,1.81404262120094,33,1.28,1
30.71982419,2.1880249912009617,24,10.24,1
17.85761418,69.76779059120094,47,0.32,0
79.60668277,37.36128579120094,36,0.64,1
47.64281941,50.39918690879907,35,0.64,0
27.86997919,45.145612891200926,34,1.28,0
25.3968243,8.760838508799054,32,2.56,1
11.01904402,40.56713339120097,33,1.28,1
13.19326345,89.02167620879908,49,0.32,1
47.13883658,42.72045809120095,48,0.32,0
8.521866157,52.31641618879905,38,0.32,0
59.60932744,31.44935476879905,47,0.32,0
57.87755748,78.83145780879906,30,1.28,1
,,42,0.32,0
,,49,0.32,0
40.6442962,8.689879360386442,47,0.32,0
22.39254393,40.54606803961354,37,0.64,0
58.0242119,1.8140572003864577,33,1.28,1
30.71982419,2.1880395703864792,24,10.24,1
17.85761418,69.76780517038645,47,0.32,0
79.60668277,37.36130037038646,36,0.64,1
47.64281941,50.39917232961355,35,0.64,0
27.86997919,45.14562747038645,34,1.28,0
25.3968243,8.760823929613537,32,2.56,1
11.01904402,40.567147970386486,34,1.28,1
13.19326345,89.02166162961356,49,0.32,1
47.13883658,42.72047267038647,47,0.32,0
8.521866157,52.316401609613536,38,0.32,0
59.60932744,31.449340189613537,47,0.32,0
57.87755748,78.83144322961354,30,1.28,1
