elevation,diff_azimuth,Carrier-to-noise density ratio (cno) [dbHz],Estimated pseudorange measurement standard deviation (prStdev) [m],"NLOS (0 == no, 1 == yes, # == No Information)"
21.98251271,75.4348912812776,50,0.32,0
27.28865817,57.3871861187224,39,2.56,0
85.13398481,41.54397968127762,28,20.48,1
32.53906053,75.77106258127759,43,2.56,0
7.730747057,22.9635717487224,21,20.48,1
30.21269784,31.791093678722405,31,20.48,1
50.59013994,52.24827828127761,45,0.64,0
48.10127481,68.87103101872242,34,20.48,0
14.49513372,6.615684718722406,50,1.28,1
35.44660893,87.70207168127757,23,40.96,1
18.59667846,83.86748371872238,26,10.24,1
17.75144428,39.55655488127758,39,5.12,0
76.74888004,30.3473977687224,48,5.12,0
41.1536966,24.226663878722405,46,5.12,0
58.05533462,60.42782838127761,34,20.48,1
17.52735208,16.49143788127759,40,5.12,1
,,29,10.24,1
,,45,0.64,0
,,38,0.64,1
21.98251269,75.44179727454173,49,0.32,0
27.28865815,57.38028012545827,40,2.56,0
85.13398481,41.55088567454175,28,20.48,1
32.53906052,75.77796857454172,43,2.56,0
7.730747043,22.956665755458275,21,20.48,1
30.21269783,31.78418768545828,38,20.48,1
50.59013993,52.25518427454173,45,0.64,0
48.1012748,68.86412502545829,37,10.24,0
14.4951337,6.608778725458279,50,1.28,1
35.44660891,87.7089776745417,23,40.96,1
18.59667845,83.86057772545826,25,10.24,1
17.75144426,39.5634608745417,43,10.24,0
76.74888004,30.340491775458275,46,5.12,0
41.15369658,24.21975788545828,50,5.12,0
58.05533461,60.43473437454173,35,10.24,1
17.52735207,16.498343874541717,38,5.12,0
,,29,10.24,1
,,46,0.64,0
,,41,0.64,1
21.98251267,75.70859458457534,49,0.32,0
27.28865813,57.11348281542466,45,2.56,0
85.13398481,41.81768298457536,32,20.48,1
32.5390605,76.04476588457533,46,2.56,0
7.73074702,22.689868445424665,21,20.48,1
30.2126978,31.517390375424668,30,20.48,1
50.59013991,52.52198158457534,45,0.64,0
48.10127478,68.59732771542468,38,10.24,0
14.49513368,6.341981415424669,48,0.64,1
35.44660889,87.97577498457531,23,40.96,1
18.59667842,83.59378041542465,50,5.12,0
17.75144424,39.830258184575314,35,5.12,1
76.74888003,30.073694465424666,41,5.12,0
41.15369656,23.95296057542467,35,10.24,1
58.05533459,60.70153168457534,36,5.12,0
17.52735204,16.765141184575327,21,20.48,1
,,46,0.64,0
,,40,0.64,1
21.98251265,75.90568382353922,49,0.32,0
27.28865812,56.91639357646078,47,1.28,0
85.13398481,42.01477222353924,28,10.24,1
32.53906048,76.24185512353921,48,2.56,0
7.730747005,22.49277920646078,21,20.48,1
30.21269779,31.320301136460785,34,10.24,1
50.5901399,52.71907082353923,46,0.64,0
48.10127477,68.4002384764608,36,10.24,0
14.49513366,6.144892176460786,43,1.28,1
35.44660888,88.1728642235392,22,40.96,1
18.59667841,83.39669117646076,38,5.12,0
17.75144422,40.0273474235392,36,10.24,1
76.74888003,29.876605226460786,32,5.12,0
41.15369655,23.755871336460785,35,10.24,1
58.05533458,60.89862092353923,33,10.24,1
17.52735203,16.96223042353921,21,20.48,1
,,47,0.64,0
,,41,0.64,1
21.98251264,76.11598527221179,49,0.32,0
27.2886581,56.70609212778821,43,1.28,0
85.13398481,42.225073672211806,45,2.56,0
32.53906047,76.45215657221178,21,20.48,1
7.730746989,22.28247775778821,34,10.24,1
30.21269777,31.109999687788218,45,0.64,0
50.59013989,52.92937227221179,35,20.48,0
48.10127476,68.18993702778823,45,1.28,0
14.49513365,5.934590727788219,22,40.96,1
35.44660886,88.38316567221176,47,5.12,0
18.59667839,83.1863897277882,43,10.24,1
76.74888002,29.66630377778821,41,10.24,0
41.15369653,23.54556988778822,35,10.24,1
58.05533457,61.108922372211794,35,10.24,1
17.52735201,17.172531872211778,21,20.48,1
,,47,0.64,0
,,39,0.64,1
21.98251262,76.3188878017387,50,0.32,0
27.28865809,56.5031895982613,46,1.28,0
85.13398481,42.42797620173872,32,20.48,1
32.53906045,76.65505910173869,42,2.56,0
7.730746973,22.079575228261305,22,20.48,1
30.21269776,30.90709715826131,34,10.24,1
50.59013988,53.1322748017387,45,0.64,0
48.10127475,67.98703449826132,38,20.48,0
14.49513363,5.73168819826131,44,1.28,0
35.44660885,88.58606820173867,22,40.96,1
18.59667837,82.98348719826129,49,2.56,0
17.75144419,40.440551401738674,46,10.24,1
76.74888002,29.463401248261302,35,10.24,0
41.15369652,23.34266735826131,35,10.24,1
58.05533456,61.3118249017387,41,10.24,1
17.52735199,17.375434401738687,21,20.48,1
,,47,0.64,0
,,41,1.28,1
21.98251261,76.46173598887083,49,0.32,0
27.28865807,56.36034141112917,46,1.28,0
85.1339848,42.57082438887085,32,20.48,1
32.53906044,76.79790728887082,51,2.56,0
7.730746957,21.93672704112917,22,20.48,1
30.21269774,30.764248971129177,30,10.24,1
50.59013986,53.275122988870834,45,0.64,0
48.10127473,67.84418631112919,38,20.48,0
14.49513361,5.588840011129179,38,2.56,0
35.44660883,88.7289163888708,22,40.96,1
18.59667835,82.84063901112916,45,5.12,0
17.75144417,40.583399588870805,47,10.24,1
76.74888001,29.32055306112917,39,10.24,0
41.15369651,23.199819171129175,32,10.24,1
58.05533455,61.454673088870834,45,10.24,1
17.52735198,17.518282588870818,21,20.48,1
,,46,0.64,0
,,41,1.28,1
21.98251259,76.53356500793456,49,0.32,0
27.28865805,56.28851239206544,42,1.28,0
85.1339848,42.642653407934574,32,20.48,1
32.53906042,76.86973630793455,49,2.56,0
7.730746941,21.864898022065447,22,20.48,1
30.21269773,30.69241995206545,34,10.24,1
50.59013985,53.34695200793456,45,0.32,0
48.10127472,67.77235729206546,33,20.48,0
14.4951336,5.517010992065451,43,2.56,0
35.44660882,88.80074540793453,22,40.96,1
18.59667834,82.76880999206543,31,10.24,0
17.75144416,40.65522860793453,42,5.12,1
76.74888001,29.248724042065447,43,10.24,0
41.15369649,23.12799015206545,31,10.24,1
58.05533454,61.52650210793456,45,5.12,1
17.52735196,17.590111607934546,21,20.48,1
,,46,0.64,0
,,41,1.28,1
21.98251257,76.64448883252282,50,0.32,0
27.28865803,56.17758856747717,46,1.28,0
85.1339848,42.75357723252285,32,20.48,1
32.5390604,76.98066013252281,45,2.56,0
30.2126977,30.58149612747718,22,20.48,1
50.59013983,53.45787583252283,35,20.48,1
48.1012747,67.6614334674772,45,0.32,0
14.49513357,5.406087167477182,34,20.48,0
35.4466088,88.9116692325228,45,2.56,0
18.59667831,82.65788616747716,22,40.96,1
17.75144413,40.7661524325228,36,10.24,1
76.74888,29.137800217477174,38,10.24,0
41.15369647,23.01706632747718,38,10.24,0
58.05533453,61.63742593252283,49,5.12,0
17.52735194,17.701035432522815,21,20.48,1
,,48,0.64,0
,,41,0.64,1
21.98251255,76.61427679056584,49,0.32,0
27.28865802,56.20780060943416,44,1.28,0
85.1339848,42.72336519056586,49,2.56,0
32.53906039,76.95044809056583,23,20.48,1
7.730746903,21.784186239434163,35,20.48,1
30.21269769,30.611708169434166,45,0.32,0
50.59013982,53.427663790565845,37,20.48,0
48.10127469,67.69164550943418,43,2.56,0
14.49513356,5.436299209434168,21,40.96,1
35.44660878,88.88145719056581,42,10.24,1
18.5966783,82.68809820943414,39,10.24,0
76.74888,29.168012259434164,35,10.24,0
