Carrier-to-noise density ratio (cno) [dbHz],Estimated pseudorange measurement standard deviation (prStdev) [m],"NLOS (0 == no, 1 == yes, # == No Information)"
49,0.32,1
41,0.64,1
26,2.56,1
31,2.56,1
32,2.56,1
42,0.32,1
32,1.28,1
44,0.32,1
16,40.96,1
26,5.12,1
41,0.64,1
32,1.28,1
46,0.32,1
32,2.56,1
45,0.32,1
20,20.48,1
24,40.96,1
49,0.32,0
41,0.64,0
26,2.56,1
31,2.56,0
41,0.32,1
31,1.28,1
44,0.32,0
15,40.96,1
26,5.12,1
41,0.64,0
33,1.28,1
46,0.32,0
31,2.56,0
46,0.32,0
20,20.48,1
49,0.32,0
41,0.64,0
26,2.56,1
30,2.56,0
41,0.32,1
31,1.28,1
44,0.32,0
16,40.96,1
27,5.12,1
41,0.64,0
33,1.28,1
46,0.32,0
32,2.56,0
46,0.32,0
19,20.48,1
32,40.96,#
49,0.32,0
41,0.64,0
26,2.56,1
30,2.56,0
41,0.32,1
31,2.56,1
44,0.32,0
15,40.96,1
27,5.12,1
42,0.64,0
33,1.28,1
46,0.32,0
31,2.56,0
46,0.32,0
19,20.48,1
32,40.96,#
49,0.32,0
41,0.64,0
26,5.12,1
29,2.56,0
33,81.92,0
41,0.32,1
31,2.56,1
44,0.32,0
14,40.96,1
27,5.12,1
42,0.64,0
33,1.28,1
46,0.32,0
31,2.56,0
46,0.32,0
19,20.48,1
32,40.96,#
49,0.32,0
41,0.32,0
26,5.12,1
23,5.12,1
36,40.96,0
41,0.32,1
30,2.56,1
44,0.32,0
13,40.96,1
27,5.12,1
42,0.64,0
33,1.28,1
46,0.32,0
31,1.28,0
47,0.32,0
20,20.48,1
32,20.48,#
49,0.32,0
41,0.32,0
25,10.24,1
23,5.12,1
41,0.32,1
30,2.56,1
44,0.32,0
13,40.96,1
27,5.12,1
41,0.64,0
32,1.28,1
46,0.32,0
31,2.56,0
46,0.32,0
20,20.48,1
50,0.32,0
41,0.32,0
24,20.48,1
23,5.12,1
41,0.32,1
30,1.28,1
44,0.32,0
13,40.96,1
27,2.56,1
41,0.32,0
32,1.28,1
46,0.32,0
31,2.56,0
47,0.32,0
20,20.48,1
49,0.32,0
41,0.32,0
24,20.48,1
41,0.32,1
29,1.28,1
44,0.32,0
13,40.96,1
27,2.56,1
41,0.32,0
32,1.28,1
46,0.32,0
31,2.56,0
47,0.32,0
20,20.48,1
49,0.32,0
41,0.32,0
24,20.48,1
36,81.92,0
41,0.32,1
29,1.28,1
44,0.32,0
12,40.96,1
27,2.56,1
41,0.32,0
32,1.28,1
46,0.32,0
31,2.56,0
47,0.32,0
20,20.48,1
33,81.92,#
49,0.32,0
41,0.32,0
23,20.48,1
36,40.96,0
41,0.32,1
28,1.28,1
44,0.32,0
12,40.96,1
27,2.56,1
41,0.32,0
25,20.48,1
32,1.28,1
46,0.32,0
31,2.56,0
47,0.32,0
21,20.48,1
34,40.96,#
48,0.32,0
41,0.32,0
23,20.48,1
36,40.96,0
41,0.32,1
44,0.32,0
11,40.96,1
27,2.56,1
41,0.32,0
26,10.24,1
32,1.28,1
46,0.32,0
31,2.56,0
47,0.32,0
21,20.48,1
48,0.32,0
