elevation,diff_azimuth,Carrier-to-noise density ratio (cno) [dbHz],Estimated pseudorange measurement standard deviation (prStdev) [m],"NLOS (0 == no, 1 == yes, # == No Information)"
8.397322073,46.694829873138815,49,0.32,1
18.72716883,56.53784607313884,41,0.64,1
67.69895889,9.430313326861151,26,2.56,1
39.40789312,21.80197037313883,31,2.56,1
32.08241666,46.43901739686117,32,2.56,1
60.86884962,39.26022872686117,42,0.32,1
42.24037262,1.107748726861189,32,1.28,1
10.46948141,13.119521766861167,44,0.32,1
14.13824252,89.17727241686117,16,40.96,1
32.56017233,37.778802896861166,26,5.12,1
17.4402916,21.67502797313884,41,0.64,1
37.19111406,26.604900973138854,32,1.28,1
31.81825282,43.26628273686117,46,0.32,1
71.01987233,62.59871357313881,32,2.56,1
,,45,0.32,1
,,20,20.48,1
,,24,40.96,1
8.397322071,46.69483078861094,49,0.32,0
18.72716883,56.537846988610966,41,0.64,0
67.69895889,9.430312411389025,26,2.56,1
39.40789312,21.80197128861096,31,2.56,0
60.86884961,39.26022781138904,41,0.32,1
42.24037262,1.1077478113890606,31,1.28,1
10.4694814,13.11952085138904,44,0.32,0
14.13824252,89.17727150138904,15,40.96,1
32.56017233,37.77880198138904,26,5.12,1
17.4402916,21.675028888610967,41,0.64,0
37.19111405,26.604901888610986,33,1.28,1
31.81825281,43.26628182138904,46,0.32,0
71.01987233,62.59871448861094,31,2.56,0
,,46,0.32,0
,,20,20.48,1
8.397322069,46.69483154525119,49,0.32,0
18.72716883,56.53784774525121,41,0.64,0
67.69895889,9.430311654748778,26,2.56,1
39.40789312,21.801972045251205,30,2.56,0
60.86884961,39.2602270547488,41,0.32,1
42.24037262,1.1077470547488133,31,1.28,1
10.4694814,13.119520094748792,44,0.32,0
14.13824252,89.1772707447488,16,40.96,1
32.56017233,37.77880122474879,27,5.12,1
17.4402916,21.67502964525121,41,0.64,0
37.19111405,26.60490264525123,33,1.28,1
31.81825281,43.2662810647488,46,0.32,0
71.01987233,62.59871524525119,32,2.56,0
,,46,0.32,0
,,19,20.48,1
8.397322068,46.69483157776796,32,40.96,#
18.72716883,56.53784777776798,49,0.32,0
67.69895889,9.430311622232011,41,0.64,0
39.40789311,21.80197207776797,26,2.56,1
60.86884961,39.26022702223203,30,2.56,0
42.24037262,1.1077470222320471,41,0.32,1
10.4694814,13.119520062232027,31,2.56,1
14.13824252,89.17727071223203,44,0.32,0
32.56017233,37.77880119223202,15,40.96,1
17.44029159,21.67502967776798,27,5.12,1
37.19111405,26.604902677768,42,0.64,0
31.81825281,43.26628103223203,33,1.28,1
71.01987233,62.59871527776795,46,0.32,0
,,31,2.56,0
,,46,0.32,0
,,19,20.48,1
8.397322066,46.69482858080573,32,40.96,#
18.72716882,56.53784478080576,49,0.32,0
67.69895889,9.430314619194236,41,0.64,0
39.40789311,21.801969080805748,26,5.12,1
32.08241665,46.43901868919425,29,2.56,0
60.86884961,39.26023001919425,33,81.92,0
42.24037262,1.1077500191942704,41,0.32,1
10.4694814,13.11952305919425,31,2.56,1
14.13824251,89.17727370919425,44,0.32,0
32.56017232,37.77880418919425,14,40.96,1
17.44029159,21.67502668080576,27,5.12,1
37.19111405,26.60489968080577,42,0.64,0
31.81825281,43.26628402919425,33,1.28,1
71.01987233,62.59871228080573,46,0.32,0
,,31,2.56,0
,,46,0.32,0
,,19,20.48,1
8.397322064,46.69482789837042,32,40.96,#
18.72716882,56.53784409837044,49,0.32,0
67.69895889,9.430315301629548,41,0.32,0
39.40789311,21.801968398370438,26,5.12,1
32.08241665,46.43901937162956,23,5.12,1
60.86884961,39.26023070162957,36,40.96,0
42.24037262,1.107750701629584,41,0.32,1
10.4694814,13.119523741629564,30,2.56,1
14.13824251,89.17727439162957,44,0.32,0
32.56017232,37.77880487162956,13,40.96,1
17.44029159,21.675025998370444,27,5.12,1
37.19111405,26.60489899837046,42,0.64,0
31.81825281,43.26628471162957,33,1.28,1
71.01987233,62.598711598370414,46,0.32,0
,,31,1.28,0
,,47,0.32,0
,,20,20.48,1
8.397322062,46.69482824271466,32,20.48,#
18.72716882,56.537844442714686,49,0.32,0
67.69895889,9.430314957285304,41,0.32,0
39.40789311,21.80196874271468,25,10.24,1
60.86884961,39.26023035728532,23,5.12,1
42.24037262,1.1077503572853402,41,0.32,1
10.46948139,13.11952339728532,30,2.56,1
14.13824251,89.17727404728532,44,0.32,0
32.56017232,37.77880452728532,13,40.96,1
17.44029159,21.675026342714688,27,5.12,1
37.19111404,26.604899342714702,41,0.64,0
31.8182528,43.26628436728532,32,1.28,1
71.01987233,62.59871194271466,46,0.32,0
,,31,2.56,0
,,46,0.32,0
,,20,20.48,1
8.39732206,46.69482748857576,50,0.32,0
18.72716882,56.53784368857578,41,0.32,0
67.69895889,9.430315711424214,24,20.48,1
39.40789311,21.80196798857577,23,5.12,1
60.86884961,39.26023111142423,41,0.32,1
42.24037261,1.1077511114242498,30,1.28,1
10.46948139,13.11952415142423,44,0.32,0
14.13824251,89.17727480142423,13,40.96,1
32.56017232,37.77880528142423,27,2.56,1
17.44029159,21.675025588575775,41,0.32,0
37.19111404,26.604898588575796,32,1.28,1
31.8182528,43.26628512142423,46,0.32,0
71.01987233,62.59871118857575,31,2.56,0
,,47,0.32,0
,,20,20.48,1
8.397322058,46.6948282798171,49,0.32,0
18.72716882,56.53784447981712,41,0.32,0
67.69895889,9.430314920182866,24,20.48,1
39.40789311,21.80196877981712,41,0.32,1
60.86884961,39.260230320182885,29,1.28,1
42.24037261,1.1077503201829018,44,0.32,0
10.46948139,13.119523360182882,13,40.96,1
14.13824251,89.17727401018288,27,2.56,1
17.44029158,21.67502637981713,41,0.32,0
37.19111404,26.60489937981714,32,1.28,1
31.8182528,43.26628433018288,46,0.32,0
71.01987233,62.5987119798171,31,2.56,0
,,47,0.32,0
,,20,20.48,1
8.397322057,46.69482844302632,49,0.32,0
18.72716881,56.53784464302635,41,0.32,0
67.69895888,9.430314756973644,24,20.48,1
39.40789311,21.80196894302634,36,81.92,0
32.08241664,46.43901882697366,41,0.32,1
60.86884961,39.26023015697366,29,1.28,1
42.24037261,1.1077501569736796,44,0.32,0
10.46948139,13.11952319697366,12,40.96,1
14.1382425,89.17727384697366,27,2.56,1
17.44029158,21.67502654302635,41,0.32,0
37.19111404,26.604899543026363,32,1.28,1
31.8182528,43.26628416697366,46,0.32,0
71.01987233,62.59871214302632,31,2.56,0
,,47,0.32,0
,,20,20.48,1
8.397322055,46.69482761280648,33,81.92,#
18.72716881,56.5378438128065,49,0.32,0
67.69895888,9.43031558719349,41,0.32,0
39.4078931,21.80196811280649,23,20.48,1
32.08241664,46.43901965719351,36,40.96,0
60.8688496,39.26023098719351,41,0.32,1
42.24037261,1.1077509871935265,28,1.28,1
10.46948139,13.119524027193506,44,0.32,0
14.1382425,89.17727467719351,12,40.96,1
17.44029158,21.6750257128065,27,2.56,1
37.19111404,26.60489871280652,41,0.32,0
31.8182528,43.26628499719351,25,20.48,1
71.01987232,62.59871131280647,32,1.28,1
30.33537528,14.01167398719349,46,0.32,0
,,31,2.56,0
,,47,0.32,0
,,21,20.48,1
8.397322053,46.69482772995019,34,40.96,#
18.72716881,56.53784392995021,48,0.32,0
67.69895888,9.430315470049775,41,0.32,0
39.4078931,21.801968229950205,23,20.48,1
32.08241664,46.43901954004979,36,40.96,0
60.8688496,39.2602308700498,41,0.32,1
42.24037261,1.1077508700498129,44,0.32,0
10.46948139,13.119523910049791,11,40.96,1
14.1382425,89.1772745600498,27,2.56,1
17.44029158,21.67502582995021,41,0.32,0
37.19111404,26.60489882995023,26,10.24,1
71.01987232,62.598711429950185,32,1.28,1
30.33537528,14.011673870049776,46,0.32,0
,,31,2.56,0
,,47,0.32,0
,,21,20.48,1
8.397322052,46.69482762197788,48,0.32,0
18.72716881,56.5378438219779,41,0.32,0
67.69895888,9.430315578022087,23,20.48,1
39.4078931,21.801968121977893,37,20.48,0
32.08241664,46.4390196480221,41,0.32,1
60.8688496,39.26023097802211,44,0.32,0
42.24037261,1.1077509780221249,10,40.96,1
10.46948138,13.119524018022105,26,2.56,1
14.1382425,89.17727466802211,41,0.32,0
17.44029158,21.675025721977903,27,10.24,1
37.19111403,26.60489872197792,32,1.28,1
71.01987232,62.59871132197787,45,0.32,0
30.33537528,14.011673978022088,32,2.56,0
,,47,0.32,0
,,21,20.48,1
8.39732205,46.69482778164354,49,0.32,0
18.72716881,56.53784398164356,41,0.32,0
67.69895888,9.430315418356429,22,20.48,1
39.4078931,21.801968281643557,41,0.32,1
60.8688496,39.26023081835645,44,0.32,0
42.24037261,1.1077508183564646,19,40.96,1
10.46948138,13.119523858356445,10,40.96,1
14.1382425,89.17727450835645,26,2.56,1
17.44029158,21.675025881643563,41,0.32,0
43.206704,58.361534118356445,27,10.24,1
37.19111403,26.604898881643575,32,1.28,1
71.01987232,62.598711481643534,45,0.32,0
30.33537528,14.011673818356428,32,2.56,0
,,47,0.32,0
,,21,20.48,1
8.397322049,46.69482731327702,49,0.32,0
18.72716881,56.53784351327704,41,0.32,0
67.69895888,9.430315886722951,22,20.48,1
39.4078931,21.80196781327703,41,0.32,1
60.8688496,39.26023128672297,44,0.32,0
42.2403726,1.107751286722987,20,40.96,1
10.46948138,13.119524326722969,11,40.96,1
14.1382425,89.17727497672297,26,2.56,1
17.44029157,21.67502541327704,41,0.32,0
43.206704,58.36153458672297,28,10.24,1
37.19111403,26.604898413277056,32,1.28,1
71.01987232,62.59871101327701,45,0.32,0
30.33537528,14.01167428672295,32,2.56,0
,,47,0.32,0
,,20,20.48,1
8.397322048,46.69482745772649,34,81.92,#
18.72716881,56.53784365772651,49,0.32,0
67.69895888,9.430315742273478,41,0.32,0
39.4078931,21.801967957726504,22,20.48,1
60.8688496,39.2602311422735,24,20.48,1
42.2403726,1.1077511422735142,41,0.32,1
10.46948138,13.119524182273494,44,0.32,0
14.13824249,89.1772748322735,20,40.96,1
32.56017231,37.77880531227349,10,40.96,1
17.44029157,21.675025557726517,26,2.56,1
43.206704,58.361534442273495,41,0.32,0
37.19111403,26.60489855772653,28,5.12,1
71.01987232,62.59871115772648,32,1.28,1
30.33537528,14.011674142273478,46,0.32,0
,,32,2.56,0
,,47,0.32,0
,,20,20.48,1
8.397322046,46.69482738102028,48,0.32,0
18.7271688,56.5378435810203,41,0.32,0
67.69895888,9.430315818979691,22,20.48,1
39.4078931,21.80196788102029,25,10.24,0
32.08241663,46.43901988897971,37,81.92,0
60.8688496,39.26023121897971,41,0.32,1
42.2403726,1.107751218979729,44,0.32,0
10.46948138,13.119524258979707,20,40.96,1
14.13824249,89.17727490897971,10,40.96,1
32.5601723,37.778805388979706,26,2.56,1
17.44029157,21.6750254810203,40,0.32,0
43.206704,58.36153451897971,28,5.12,1
37.19111403,26.604898481020317,31,1.28,1
71.01987232,62.59871108102027,46,0.32,0
30.33537527,14.011674218979692,32,2.56,0
,,47,0.32,0
,,20,20.48,1
8.397322045,46.69482896100175,48,0.32,0
18.7271688,56.53784516100177,41,0.64,0
67.69895888,9.43031423899822,21,20.48,1
39.4078931,21.80196946100176,25,10.24,0
32.08241663,46.43901830899824,37,40.96,0
60.8688496,39.26022963899824,41,0.32,1
42.2403726,1.107749638998257,44,0.32,0
10.46948138,13.119522678998235,20,40.96,1
14.13824249,89.17727332899824,10,40.96,1
32.5601723,37.77880380899824,26,2.56,1
17.44029157,21.67502706100177,40,0.32,0
43.206704,58.36153293899824,29,5.12,1
37.19111403,26.604900061001786,31,1.28,1
71.01987232,62.59871266100174,46,0.32,0
30.33537527,14.01167263899822,32,1.28,0
,,47,0.32,0
,,20,20.48,1
8.397322044,46.69482993212756,48,0.32,0
18.7271688,56.537846132127584,41,0.64,0
67.69895888,9.430313267872409,21,20.48,1
39.40789309,21.801970432127572,25,5.12,0
60.8688496,39.260228667872425,41,0.32,1
42.2403726,1.1077486678724426,44,0.32,0
10.46948138,13.119521707872424,21,40.96,1
14.13824249,89.17727235787243,10,40.96,1
32.5601723,37.77880283787242,25,2.56,1
17.44029157,21.675028032127585,40,0.32,0
43.206704,58.36153196787242,29,5.12,1
37.19111403,26.6049010321276,31,1.28,1
71.01987232,62.59871363212756,46,0.32,0
30.33537527,14.011671667872406,32,2.56,0
,,46,0.32,0
,,21,20.48,1
18.7271688,56.53784727104835,34,81.92,#
67.69895888,9.43031212895164,48,0.32,0
39.40789309,21.80197157104834,41,0.64,0
60.8688496,39.26022752895166,21,20.48,1
42.2403726,1.107747528951677,26,5.12,0
10.46948138,13.119520568951655,41,0.32,1
14.13824249,89.17727121895166,44,0.32,0
32.5601723,37.77880169895165,21,20.48,1
17.44029157,21.67502917104835,26,2.56,1
43.206704,58.36153082895166,40,0.32,0
37.19111403,26.60490217104837,30,5.12,1
71.01987232,62.59871477104832,31,1.28,1
30.33537527,14.01167052895164,46,0.32,0
,,32,2.56,0
,,46,0.32,0
,,22,20.48,1
18.7271688,56.53784686333808,48,0.32,0
67.69895888,9.430312536661916,41,0.64,0
39.40789309,21.801971163338067,21,20.48,1
60.8688496,39.260227936661934,26,5.12,0
42.2403726,1.1077479366619514,41,0.32,1
10.46948137,13.119520976661931,44,0.32,0
14.13824249,89.17727162666193,21,20.48,1
32.5601723,37.77880210666193,26,2.56,1
17.44029157,21.67502876333808,40,0.32,0
43.206704,58.36153123666193,30,2.56,1
37.19111402,26.60490176333809,31,1.28,1
71.01987232,62.59871436333805,46,0.32,0
30.33537527,14.011670936661917,32,2.56,0
,,46,0.32,0
,,22,20.48,1
18.7271688,56.537845828637785,48,0.32,0
67.69895888,9.430313571362204,40,0.64,0
39.40789309,21.801970128637777,21,20.48,1
32.08241663,46.43901764136222,26,5.12,0
60.8688496,39.260228971362224,36,81.92,0
42.2403726,1.1077489713622413,41,0.32,1
10.46948137,13.11952201136222,44,0.32,0
14.13824249,89.17727266136222,21,20.48,1
32.5601723,37.77880314136222,26,2.56,1
17.44029157,21.675027728637787,40,0.32,0
43.20670399,58.36153227136222,30,2.56,1
37.19111402,26.6049007286378,31,1.28,1
71.01987232,62.59871332863776,46,0.32,0
30.33537527,14.011671971362205,32,2.56,0
,,46,0.32,0
,,23,20.48,1
8.39732204,46.69483072524497,45,0.32,0
7.222002329,5.829598174755006,37,0.64,0
18.7271688,56.53784692524499,21,20.48,1
67.69895888,9.430312474755,26,5.12,0
39.40789309,21.801971225244984,33,40.96,0
32.08241663,46.43901654475501,35,0.32,1
60.8688496,39.26022787475502,38,0.32,0
42.2403726,1.1077478747550344,21,20.48,1
10.46948137,13.119520914755014,12,40.96,1
14.13824249,89.17727156475502,27,2.56,1
32.5601723,37.77880204475501,37,0.32,0
17.44029156,21.675028825244997,30,2.56,1
43.20670399,58.361531174755015,29,1.28,1
37.19111402,26.60490182524501,42,0.32,0
71.01987232,62.59871442524496,27,2.56,0
30.33537527,14.011670874754998,42,0.32,0
,,26,20.48,1
,,21,40.96,1
8.397322039,46.69483045593944,34,81.92,#
7.222002328,5.829598444060537,46,0.32,0
18.7271688,56.53784665593946,37,0.64,0
67.69895888,9.43031274406053,20,20.48,1
39.40789309,21.801970955939453,25,5.12,0
60.8688496,39.26022814406055,35,0.32,1
42.2403726,1.1077481440605652,38,0.32,0
10.46948137,13.119521184060543,21,20.48,1
32.5601723,37.77880231406054,13,40.96,1
17.44029156,21.675028555939463,27,2.56,1
43.20670399,58.36153144406055,37,0.32,0
37.19111402,26.60490155593948,29,2.56,1
71.01987232,62.59871415593943,29,1.28,1
30.33537527,14.011671144060529,42,0.32,0
,,43,0.32,0
,,26,10.24,1
,,21,40.96,1
8.397322038,46.69483076401497,46,0.32,0
7.222002327,5.829598135985009,37,0.64,0
18.7271688,56.53784696401499,20,20.48,1
67.69895888,9.430312435985002,25,5.12,0
39.40789309,21.80197126401498,35,0.32,1
60.8688496,39.26022783598502,38,0.64,0
42.24037259,1.1077478359850377,21,20.48,1
