Carrier-to-noise density ratio (cno) [dbHz],Estimated pseudorange measurement standard deviation (prStdev) [m],"NLOS (0 == no, 1 == yes, # == No Information)"
50,0.32,0
46,0.32,0
49,0.32,0
39,1.28,0
51,0.32,0
39,1.28,0
37,0.64,0
37,1.28,#
40,1.28,#
39,1.28,#
43,0.64,0
36,1.28,0
44,1.28,0
42,0.64,0
29,5.12,0
32,2.56,1
36,1.28,1
40,0.64,0
50,0.32,0
46,0.32,0
49,0.32,0
39,1.28,0
51,0.32,0
39,0.64,0
37,0.64,0
37,1.28,#
40,1.28,#
39,1.28,#
43,0.64,0
36,1.28,0
44,0.64,0
42,0.64,0
29,5.12,0
32,2.56,1
36,1.28,1
40,0.64,0
50,0.32,0
46,0.32,0
50,0.32,0
39,1.28,0
51,0.32,0
39,0.64,0
37,0.64,0
37,1.28,#
41,1.28,#
39,1.28,#
43,0.64,0
36,1.28,0
44,0.64,0
42,0.64,0
29,5.12,0
32,2.56,1
36,1.28,1
40,1.28,1
22,81.92,1
51,0.32,0
48,0.32,0
51,0.32,0
40,1.28,0
53,0.32,0
41,0.64,0
39,0.64,0
38,1.28,#
42,0.64,#
41,1.28,#
43,0.32,0
36,1.28,0
44,0.64,0
42,0.64,0
29,5.12,0
32,2.56,1
36,1.28,1
41,0.64,1
51,0.32,0
48,0.32,0
51,0.32,0
40,1.28,0
52,0.32,0
41,0.64,0
39,0.64,0
38,0.64,#
42,0.64,#
41,1.28,#
43,0.32,0
36,0.64,0
44,0.64,0
42,0.64,0
28,5.12,0
32,2.56,1
36,1.28,0
41,0.64,1
51,0.32,0
47,0.32,0
51,0.32,0
40,1.28,0
52,0.32,0
41,0.64,0
39,0.64,0
38,0.64,#
42,0.64,#
41,1.28,#
43,0.32,0
36,0.64,0
44,0.64,0
42,0.32,0
28,5.12,0
32,2.56,1
36,1.28,0
42,0.64,1
51,0.32,0
47,0.32,0
51,0.32,0
40,1.28,0
53,0.32,0
41,0.64,0
38,0.64,0
38,0.64,#
42,0.64,#
41,0.64,#
43,0.32,0
35,0.64,0
44,0.32,0
42,0.32,0
28,5.12,0
32,1.28,1
35,1.28,0
42,0.64,1
51,0.32,0
47,0.32,0
51,0.32,0
40,0.64,0
53,0.32,0
41,0.64,0
38,0.64,0
38,0.64,#
42,0.64,#
41,0.64,#
43,0.32,0
35,0.64,0
44,0.32,0
42,0.32,0
28,5.12,0
33,1.28,1
36,1.28,0
43,0.64,1
51,0.32,0
47,0.32,0
51,0.32,0
40,0.64,0
52,0.32,0
41,0.64,0
38,0.64,0
38,0.64,#
42,0.64,#
40,0.64,#
43,0.32,0
35,0.64,0
44,0.32,0
42,0.32,0
28,5.12,0
32,1.28,1
35,0.64,0
42,0.64,1
51,0.32,0
47,0.32,0
51,0.32,0
40,0.64,0
52,0.32,0
41,0.32,0
38,0.64,0
38,0.64,#
42,0.64,#
40,0.64,#
43,0.32,0
35,1.28,0
44,0.32,0
42,0.32,0
27,5.12,0
32,1.28,1
36,0.64,0
42,0.64,1
51,0.32,0
47,0.32,0
51,0.32,0
40,0.64,0
52,0.32,0
41,0.32,0
38,0.64,0
38,0.64,#
42,0.64,#
40,0.64,#
43,0.32,0
35,1.28,0
44,0.32,0
42,0.32,0
27,5.12,0
32,1.28,1
36,0.64,0
41,0.64,1
51,0.32,0
47,0.32,0
51,0.32,0
40,0.64,0
52,0.32,0
41,0.32,0
38,0.64,0
38,0.64,#
42,0.32,#
40,0.64,#
43,0.32,0
35,1.28,0
44,0.32,0
42,0.32,0
27,5.12,0
32,1.28,1
36,0.64,0
41,0.64,1
51,0.32,0
47,0.32,0
51,0.32,0
40,0.64,0
52,0.32,0
41,0.32,0
37,0.64,0
44,0.32,1
38,0.64,#
41,0.32,#
40,0.64,#
43,0.32,0
35,1.28,0
44,0.32,0
42,0.32,0
27,5.12,0
32,1.28,1
36,0.64,0
25,20.48,1
41,0.32,1
24,81.92,1
51,0.32,0
47,0.32,0
50,0.32,0
40,0.64,0
52,0.32,0
41,0.32,0
37,0.64,0
44,0.32,1
38,0.64,#
41,0.32,#
40,0.64,#
43,0.32,0
35,0.64,0
44,0.32,0
42,0.32,0
27,5.12,0
31,1.28,1
36,0.64,0
25,10.24,1
41,0.32,1
25,81.92,1
51,0.32,0
47,0.32,0
50,0.32,0
40,0.64,0
52,0.32,0
41,0.32,0
37,0.64,0
44,0.32,1
38,0.64,#
41,0.32,#
40,0.32,#
43,0.32,0
35,0.64,0
44,0.32,0
42,0.32,0
27,5.12,0
31,1.28,1
36,0.64,0
25,10.24,1
41,0.32,0
24,81.92,1
51,0.32,0
47,0.32,0
51,0.32,0
40,0.64,0
52,0.32,0
41,0.32,0
37,0.64,0
44,0.32,1
38,0.64,#
41,0.32,#
40,0.32,#
