elevation,diff_azimuth,Carrier-to-noise density ratio (cno) [dbHz],Estimated pseudorange measurement standard deviation (prStdev) [m],"NLOS (0 == no, 1 == yes, # == No Information)"
80.11157515,60.58968590696543,50,0.32,0
31.12784529,71.4807730930346,46,0.32,0
76.71333395,73.49319069303459,49,0.32,0
48.19334116,22.3152053969654,39,1.28,0
18.86946994,69.51267530696538,51,0.32,0
67.49153847,9.955616493034595,39,1.28,0
20.30302695,31.083919106965425,37,0.64,0
34.73695994,12.261398123034605,37,1.28,#
18.22861019,26.4626688630346,40,1.28,#
70.52994938,24.5282109830346,39,1.28,#
11.45449317,70.2400336930346,43,0.64,0
57.55561741,81.90516540696541,36,1.28,0
59.1761679,68.44029750696541,44,1.28,0
60.01993968,46.49364820696542,42,0.64,0
63.78008484,89.10954500696539,29,5.12,0
62.26333584,4.145157386965394,32,2.56,1
,,36,1.28,1
,,40,0.64,0
80.11157515,60.5896894504595,50,0.32,0
31.12784529,71.48076954954053,46,0.32,0
76.71333395,73.49318714954052,49,0.32,0
48.19334116,22.31520894045947,39,1.28,0
18.86946994,69.51267885045945,51,0.32,0
67.49153847,9.955612949540525,39,0.64,0
20.30302695,31.0839226504595,37,0.64,0
34.73695994,12.261394579540529,37,1.28,#
18.22861019,26.462665319540527,40,1.28,#
70.52994938,24.528207439540523,39,1.28,#
11.45449317,70.24003014954053,43,0.64,0
57.55561741,81.90516895045948,36,1.28,0
59.1761679,68.44030105045948,44,0.64,0
60.01993968,46.49365175045949,42,0.64,0
63.78008484,89.10954855045946,29,5.12,0
62.26333584,4.145160930459468,32,2.56,1
,,36,1.28,1
,,40,0.64,0
80.11157515,60.58969102919036,50,0.32,0
31.1278453,71.48076797080967,46,0.32,0
76.71333395,73.49318557080966,50,0.32,0
48.19334116,22.31521051919033,39,1.28,0
18.86946994,69.51268042919031,51,0.32,0
67.49153847,9.955611370809663,39,0.64,0
20.30302695,31.08392422919036,37,0.64,0
34.73695994,12.261393000809669,37,1.28,#
18.22861019,26.462663740809667,41,1.28,#
70.52994938,24.528205860809663,39,1.28,#
11.45449317,70.24002857080967,43,0.64,0
57.55561741,81.90517052919034,36,1.28,0
59.17616791,68.44030262919034,44,0.64,0
60.01993968,46.49365332919035,42,0.64,0
63.78008484,89.10955012919032,29,5.12,0
62.26333584,4.145162509190328,32,2.56,1
,,36,1.28,1
,,40,1.28,1
,,22,81.92,1
80.11157515,60.58969558195503,51,0.32,0
31.1278453,71.480763418045,48,0.32,0
76.71333395,73.493181018045,51,0.32,0
48.19334116,22.315215071954995,40,1.28,0
18.86946994,69.51268498195498,53,0.32,0
67.49153847,9.955606818044998,41,0.64,0
20.30302695,31.083928781955024,39,0.64,0
34.73695994,12.261388448045004,38,1.28,#
18.22861019,26.462659188045,42,0.64,#
70.52994938,24.528201308045,41,1.28,#
11.45449317,70.240024018045,43,0.32,0
57.55561742,81.90517508195501,36,1.28,0
59.17616791,68.440307181955,44,0.64,0
60.01993968,46.493657881955016,42,0.64,0
63.78008484,89.10955468195499,29,5.12,0
62.26333584,4.145167061954993,32,2.56,1
,,36,1.28,1
,,41,0.64,1
80.11157515,60.58969728741795,51,0.32,0
31.1278453,71.48076171258208,48,0.32,0
76.71333395,73.49317931258207,51,0.32,0
48.19334116,22.31521677741792,40,1.28,0
18.86946994,69.5126866874179,52,0.32,0
67.49153847,9.955605112582075,41,0.64,0
20.30302695,31.083930487417945,39,0.64,0
34.73695994,12.261386742582085,38,0.64,#
18.22861019,26.46265748258208,42,0.64,#
70.52994938,24.52819960258208,41,1.28,#
11.45449318,70.24002231258208,43,0.32,0
57.55561742,81.90517678741793,36,0.64,0
59.17616791,68.44030888741793,44,0.64,0
60.01993968,46.49365958741794,42,0.64,0
63.78008484,89.10955638741791,28,5.12,0
62.26333584,4.145168767417914,32,2.56,1
,,36,1.28,0
,,41,0.64,1
80.11157515,60.589700348996814,51,0.32,0
31.1278453,71.48075865100321,47,0.32,0
76.71333395,73.4931762510032,51,0.32,0
48.19334116,22.315219838996786,40,1.28,0
18.86946994,69.51268974899676,52,0.32,0
67.49153847,9.955602051003211,41,0.64,0
20.30302695,31.08393354899681,39,0.64,0
34.73695995,12.261383681003217,38,0.64,#
18.22861019,26.46265442100321,42,0.64,#
70.52994938,24.52819654100321,41,1.28,#
11.45449318,70.24001925100322,43,0.32,0
57.55561742,81.9051798489968,36,0.64,0
59.17616791,68.4403119489968,44,0.64,0
60.01993968,46.4936626489968,42,0.32,0
63.78008484,89.10955944899678,28,5.12,0
62.26333584,4.14517182899678,32,2.56,1
,,36,1.28,0
,,42,0.64,1
80.11157515,60.589701868322095,51,0.32,0
31.1278453,71.48075713167793,47,0.32,0
76.71333395,73.49317473167793,51,0.32,0
48.19334116,22.315221358322063,40,1.28,0
18.86946994,69.51269126832204,53,0.32,0
67.49153848,9.95560053167793,41,0.64,0
20.30302695,31.08393506832209,38,0.64,0
34.73695995,12.261382161677936,38,0.64,#
18.22861019,26.46265290167793,42,0.64,#
70.52994938,24.52819502167793,41,0.64,#
11.45449318,70.24001773167794,43,0.32,0
57.55561742,81.90518136832208,35,0.64,0
59.17616791,68.44031346832207,44,0.32,0
60.01993968,46.49366416832208,42,0.32,0
63.78008484,89.10956096832206,28,5.12,0
62.26333584,4.145173348322061,32,1.28,1
,,35,1.28,0
,,42,0.64,1
80.11157515,60.58970491739456,51,0.32,0
31.1278453,71.48075408260547,47,0.32,0
76.71333395,73.49317168260546,51,0.32,0
48.19334116,22.315224407394524,40,0.64,0
18.86946994,69.5126943173945,53,0.32,0
67.49153848,9.95559748260547,41,0.64,0
20.30302696,31.083938117394556,38,0.64,0
34.73695995,12.261379112605477,38,0.64,#
18.22861019,26.462649852605477,42,0.64,#
70.52994938,24.52819197260547,41,0.64,#
11.45449318,70.24001468260548,43,0.32,0
57.55561742,81.90518441739454,35,0.64,0
59.17616791,68.44031651739454,44,0.32,0
60.01993968,46.49366721739455,42,0.32,0
63.78008484,89.10956401739452,28,5.12,0
62.26333584,4.145176397394522,33,1.28,1
,,36,1.28,0
,,43,0.64,1
80.11157515,60.58970767256551,51,0.32,0
31.1278453,71.48075132743452,47,0.32,0
76.71333395,73.49316892743451,51,0.32,0
48.19334116,22.31522716256548,40,0.64,0
18.86946994,69.51269707256546,52,0.32,0
67.49153848,9.955594727434516,41,0.64,0
20.30302696,31.083940872565503,38,0.64,0
34.73695995,12.26137635743452,38,0.64,#
18.22861019,26.46264709743452,42,0.64,#
70.52994938,24.52818921743452,40,0.64,#
11.45449318,70.24001192743452,43,0.32,0
57.55561742,81.90518717256549,35,0.64,0
59.17616791,68.44031927256549,44,0.32,0
60.01993968,46.4936699725655,42,0.32,0
63.78008484,89.10956677256547,28,5.12,0
62.26333584,4.145179152565476,32,1.28,1
,,35,0.64,0
,,42,0.64,1
80.11157515,60.58971073935544,51,0.32,0
31.1278453,71.48074826064459,47,0.32,0
76.71333395,73.49316586064458,51,0.32,0
48.19334116,22.315230229355407,40,0.64,0
18.86946994,69.51270013935539,52,0.32,0
67.49153848,9.955591660644586,41,0.32,0
