GPSWeek [weeks];GPSSecondsOfWeek [s];Solution status (sol stat);Position type (pos type);Latitude (lat) [deg];Longitude (lon) [deg];Height above mean sea level (hgt) [m];Undulation (undulation) [m];Datum ID number (datum id#);Latitude standard deviation (lat σ) [m];Longitude standard deviation (lon σ) [m];Height standard deviation (hgt σ) [m];Base station ID (stn id);Differential age in seconds (diff_age) [s];Solution age in seconds (sol_age) [s];Number of satellites tracked (#SVs);Number of satellites used in solution (#solnSVs);Number of satellites with L1/E1/B1 signals used in solution (#solnL1SVs);Number of satellites with multi-frequency signals used in solution (#solnMultiSVs);Extended solution status (ext sol stat);Galileo and BeiDou signals used mask (Galileo and BeiDou sig mask);GPS and GLONASS signals used mask (GPS and GLONASS sig mask)
1900;130921.05;0;50;52.5116591129398;13.3962173159964;35.9520550165325;39.5;61;0.0215985681861639;0.00959360040724278;0.0294403880834579;4095;2.04999995231628;0;12;12;12;10;1;51;16
1900;130921.1;0;50;52.5116591110237;13.3962173145603;35.9532377710566;39.5;61;0.0216541513800621;0.00962970312684774;0.0295684412121773;4095;2.09999990463257;0;12;12;12;10;1;51;16
1900;130921.15;0;50;52.5116591102465;13.3962173076364;35.9540409501642;39.5;61;0.0217094253748655;0.00966569688171148;0.0296959262341261;4095;2.15000009536743;0;12;12;12;10;1;51;16
1900;130921.2;0;50;52.511659139627;13.3962173605475;35.9535117214546;39.5;61;0.0205807462334633;0.00896028708666563;0.0271548200398684;4095;1.20000004768372;0;12;12;12;10;1;51;16
1900;130921.25;0;50;52.5116591468643;13.3962173533071;35.9521872904152;39.5;61;0.0206382926553488;0.00899852253496647;0.0272933822125196;4095;1.25;0;12;12;12;10;1;51;16
1900;130921.3;0;50;52.511659151564;13.3962173393255;35.9517604354769;39.5;61;0.0206954590976238;0.00903659779578447;0.0274312198162079;4095;1.29999995231628;0;12;12;12;10;1;51;16
1900;130921.35;0;50;52.5116591562223;13.396217353966;35.9538512527943;39.5;61;0.0207522381097078;0.00907451659440994;0.0275683403015137;4095;1.35000002384186;0;12;12;12;10;1;51;16
1900;130921.4;0;50;52.5116591775088;13.3962173541163;35.9526418773457;39.5;61;0.0208086203783751;0.0091122817248106;0.0277047548443079;4095;1.39999997615814;0;12;12;12;10;1;51;16
1900;130921.45;0;50;52.5116591632359;13.3962173668964;35.9538772599772;39.5;61;0.0208645947277546;0.0091498950496316;0.0278404727578163;4095;1.45000004768372;0;12;12;12;10;1;51;16
1900;130921.5;0;50;52.5116591593508;13.3962173503706;35.9524088874459;39.5;61;0.0209201537072659;0.00918735936284065;0.0279755052179098;4095;1.5;0;12;12;12;10;1;51;16
1900;130921.55;0;50;52.5116591666252;13.3962173572141;35.948832815513;39.5;61;0.0209752842783928;0.00922467652708292;0.028109859675169;4095;1.54999995231628;0;12;12;12;10;1;51;16
1900;130921.6;0;50;52.5116591639017;13.3962173488785;35.9506842186674;39.5;61;0.0210299752652645;0.00926184933632612;0.0282435473054647;4095;1.60000002384186;0;12;12;12;10;1;51;16
1900;130921.65;0;50;52.5116591616042;13.3962173566107;35.9508306244388;39.5;61;0.0210842154920101;0.00929887965321541;0.0283765755593777;4095;1.64999997615814;0;12;12;12;10;1;51;16
1900;130921.7;0;50;52.5116591588181;13.3962173566331;35.9495675163344;39.5;61;0.0211379919201136;0.0093357702717185;0.0285089537501335;4095;1.70000004768372;0;12;12;12;10;1;51;16
1900;130921.75;0;50;52.5116591512652;13.396217351097;35.9484363952652;39.5;61;0.0211912915110588;0.00937252305448055;0.0286406893283129;4095;1.75;0;12;12;12;10;1;51;16
1900;130921.8;0;50;52.5116591381913;13.3962173550837;35.9527272740379;39.5;61;0.0212440993636847;0.00940913986414671;0.0287717934697866;4095;1.79999995231628;0;12;12;12;10;1;51;16
1900;130921.85;0;50;52.5116591583152;13.3962173539663;35.949054852128;39.5;61;0.0212964024394751;0.0094456234946847;0.0289022698998451;4095;1.85000002384186;0;12;12;12;10;1;51;16
1900;130921.9;0;50;52.5116591568688;13.3962173604456;35.9494398692623;39.5;61;0.0213481858372688;0.00948197580873966;0.0290321279317141;4095;1.89999997615814;0;12;12;12;10;1;51;16
1900;130921.95;0;50;52.5116591459564;13.3962173463583;35.9498298289254;39.5;61;0.0213994346559048;0.00951819866895676;0.029161375015974;4095;1.95000004768372;0;12;12;12;10;1;51;16
1900;130922;0;50;52.5116591419235;13.3962173570306;35.9521876461804;39.5;61;0.0214501339942217;0.0095542948693037;0.0292900186032057;4095;2;0;12;12;12;10;1;51;16
1900;130922.05;0;50;52.511659151926;13.3962173525909;35.9497401351109;39.5;61;0.0215002726763487;0.00959026534110308;0.0294180661439896;4095;2.04999995231628;0;12;12;12;10;1;51;16
1900;130922.1;0;50;52.5116591593812;13.3962173213447;35.9488938786089;39.5;61;0.0215498358011246;0.00962611380964518;0.0295455250889063;4095;2.09999990463257;0;12;12;12;10;1;51;16
1900;130922.15;0;50;52.5116591490646;13.3962173235636;35.9453931720927;39.5;61;0.0215988121926785;0.00966184120625257;0.0296723991632462;4095;2.15000009536743;0;12;12;12;10;1;51;16
1900;130922.2;0;50;52.5116591868263;13.3962173393828;35.9480240605772;39.5;61;0.0203600507229567;0.00894533097743988;0.0270948559045792;4095;1.20000004768372;0;12;12;12;10;1;51;16
1900;130922.25;0;50;52.5116591683872;13.3962173409365;35.9516476383433;39.5;61;0.0204106234014034;0.0089832991361618;0.0272329077124596;4095;1.25;0;12;12;12;10;1;51;16
1900;130922.3;0;50;52.5116591676567;13.3962173627142;35.9547426365316;39.5;61;0.0204605236649513;0.00902109500020742;0.02737021073699;4095;1.29999995231628;0;12;12;12;10;1;51;16
1900;130922.35;0;50;52.5116591675235;13.3962173545353;35.9545335061848;39.5;61;0.0205097515136003;0.00905872229486704;0.0275067780166864;4095;1.35000002384186;0;12;12;12;10;1;51;16
1900;130922.4;0;50;52.5116591656491;13.3962173384289;35.9553439216688;39.5;61;0.0205583143979311;0.0090961828827858;0.0276426207274199;4095;1.39999997615814;0;12;12;12;10;1;51;16
1900;130922.45;0;50;52.5116591490716;13.3962173388886;35.9530125772581;39.5;61;0.0206062216311693;0.00913348142057657;0.027777748182416;4095;1.45000004768372;0;12;12;12;10;1;51;16
1900;130922.5;0;50;52.5116591851241;13.3962173477669;35.9510309863836;39.5;61;0.0206534918397665;0.00917061977088451;0.0279121659696102;4095;1.5;0;12;12;12;10;1;51;16
1900;130922.55;0;50;52.5116591688117;13.3962173497424;35.9506271332502;39.5;61;0.0207001455128193;0.00920760259032249;0.0280458871275187;4095;1.54999995231628;0;12;12;12;10;1;51;16
1900;130922.6;0;50;52.5116591965979;13.3962173484651;35.9511939585209;39.5;61;0.0207462199032307;0.00924443267285824;0.0281789153814316;4095;1.60000002384186;0;12;12;12;10;1;51;16
1900;130922.65;0;50;52.5116591672679;13.3962173464303;35.9498603185639;39.5;61;0.0207917504012585;0.00928111560642719;0.0283112656325102;4095;1.64999997615814;0;12;12;12;10;1;51;16
1900;130922.7;0;50;52.5116591762453;13.396217336957;35.9525689240545;39.5;61;0.0208367891609669;0.00931765604764223;0.0284429397433996;4095;1.70000004768372;0;12;12;12;10;1;51;16
1900;130922.75;0;50;52.511659139592;13.3962173405696;35.9508038330823;39.5;61;0.0208813920617104;0.00935405772179365;0.0285739526152611;4095;1.75;0;12;12;12;10;1;51;16
1900;130922.8;0;50;52.5116592114412;13.396217349282;35.9498521191999;39.5;61;0.020925622433424;0.00939032714813948;0.0287043191492558;4095;1.79999995231628;0;12;12;12;10;1;51;16
1900;130922.85;0;50;52.5116591363712;13.3962173379086;35.9505833638832;39.5;61;0.0209695473313332;0.00942646898329258;0.0288340393453836;4095;1.85000002384186;0;12;12;12;10;1;51;16
1900;130922.9;0;50;52.5116591879701;13.396217338903;35.9523906484246;39.5;61;0.0210132412612438;0.00946248974651098;0.0289631262421608;4095;1.89999997615814;0;12;12;12;10;1;51;16
1900;130922.95;0;50;52.5116591462786;13.3962173421339;35.9517559614033;39.5;61;0.0210567805916071;0.00949839409440756;0.029091589152813;4095;1.95000004768372;0;12;12;12;10;1;51;16
1900;130923;0;50;52.5116591443657;13.3962173432398;35.9519597124308;39.5;61;0.0211001969873905;0.00953418761491776;0.0292194318026304;4095;2;0;12;12;12;10;1;51;16
1900;130923.05;0;50;52.5116591489629;13.3962173542779;35.9505462786183;39.5;61;0.0211434941738844;0.00956987030804157;0.0293466579169035;4095;2.04999995231628;0;12;12;12;10;1;51;16
1900;130923.1;0;50;52.511659162001;13.3962173460562;35.9536695638672;39.5;61;0.021186675876379;0.00960544869303703;0.0294732861220837;4095;2.09999990463257;0;12;12;12;10;1;51;16
1900;130923.15;0;50;52.5116591598309;13.3962173598358;35.9507429581136;39.5;61;0.0212267376482487;0.00964003149420023;0.0295903384685516;4095;2.15000009536743;0;12;12;12;10;1;51;16
1900;130923.2;0;50;52.5116591763286;13.3962173671127;35.9515517335385;39.5;61;0.0212666820734739;0.00967451184988022;0.0297068357467651;4095;2.20000004768372;0;12;12;12;10;1;51;16
1900;130923.25;0;50;52.5116592137448;13.3962173816516;35.9516261173412;39.5;61;0.0181318577378988;0.00866831187158823;0.0262147840112448;4095;1.25;0;12;12;12;10;1;51;16
