GPSWeek [weeks];GPSSecondsOfWeek [s];Solution status (sol status);Velocity type (vel type);A measure of the latency in the velocity time tag in seconds. It should be subtracted from the time to give improved results. (latency) [s];Differential age (age) [s];Horizontal speed over ground (hor spd) [m/s];Actual direction of motion over ground (track over ground) with respect to True North [deg];Vertical speed, where positive values indicate increasing altitude (up) and negative values indicate decreasing altitude (down) [m/s]
1913;383114.3;0;54;0;3;0.00406422035138951;269.867704742848;0.00144446365075513
1913;383114.35;0;54;0;3;0.00112196154371192;89.7393780074676;0.00071861575526867
1913;383114.4;0;54;0;3;0.00212289370282583;106.50483395644;0.0012778427071352
1913;383114.45;0;54;0;3;0.00475452648449898;257.491115603;0.000103131410191894
1913;383114.5;0;54;0;3;0.00239495422720242;101.098952718335;0.000650302148500654
1913;383114.55;0;54;0;3;0.0039523406244752;257.274442427461;0.00258684788923679
1913;383114.6;0;54;0;3;0.00291550737454806;230.15656104479;0.00151284511789669
1913;383114.65;0;54;0;3;0.0037835062244755;105.449327129738;-0.00024683007011797
1913;383114.7;0;54;0;3;0.00586647205948182;233.357051521775;0.00130640974826918
1913;383114.75;0;54;0;3;0.00265697173554367;140.355021092216;0.00048284349014687
1913;383114.8;0;54;0;3;0.000396116008159212;51.3100342686611;0.00179105107460898
1913;383114.85;0;54;0;3;0.0040893098683591;226.134978741651;-0.00012147242936134
1913;383114.9;0;54;0;3;0.00311055178751746;118.091671467235;0.000336104794144251
1913;383114.95;0;54;0;3;0.00377076959440871;240.86354127914;0.00200545950418032
1913;383115;0;54;0;3;0.00172013409044346;157.60074211689;0.0028508246492719
1913;383115.05;0;54;0;2;0.00363884207636607;116.172215367693;0.000894187032488381
1913;383115.1;0;54;0;2;0.0033350126467427;244.970648569541;0.000415805932165808
1913;383115.15;0;54;0;2;0.00308183033448333;104.00891206089;-0.000677106124721326
1913;383115.2;0;54;0;2;0.00153484565260621;238.62009813202;0.00172388251116986
1913;383115.25;0;54;0;2;0.00483626689191372;252.78994779799;-0.000276315636963185
1913;383115.3;0;54;0;2;0.00279882888252713;73.5227998863824;-0.00104526741015885
1913;383115.35;0;54;0;2;0.00283337309362451;294.096383878829;0.00048383239108045
1913;383115.4;0;54;0;2;0.00151065394394406;269.585264003514;0.00124006647994468
1913;383115.45;0;54;0;2;0.00281756150550636;78.1073798720293;0.00124565632980196
1913;383115.5;0;54;0;2;0.00311146079401394;277.06007447189;0.00170004171043879
1913;383115.55;0;54;0;2;0.00294079797903792;67.9854230897632;-0.00106175763815045
1913;383115.6;0;54;0;2;0.00247827180666079;305.327157686296;0.000597742857579337
1913;383115.65;0;54;0;2;0.0044874356657153;273.076631020051;0.00183125404748018
1913;383115.7;0;54;0;2;0.00347050922250182;89.0269117018894;-0.000420121690776868
1913;383115.75;0;54;0;2;0.00467553909624553;290.81131178463;0.00172562283597381
1913;383115.8;0;54;0;2;0.00363630799910066;98.0180757412235;0.00049597014628886
1913;383115.85;0;54;0;2;0.00116200279454724;152.714785225247;0.00253094917484447
1913;383115.9;0;54;0;2;0.00128143274013978;197.199819233655;0.00149600470766587
1913;383115.95;0;54;0;2;0.00239654876304463;86.9674816091249;0.00275456099316758
1913;383116;0;54;0;2;0.00270801410367614;275.746140391127;0.00339267688192346
1913;383116.05;0;54;0;3;0.000889115414793838;180.580309222338;0.00302503739157788
1913;383116.1;0;54;0;3;0.00164295376340926;272.139522951061;0.00273543528114923
1913;383116.15;0;54;0;3;0.00178674756092609;250.150782908219;0.00116677718331158
1913;383116.2;0;54;0;3;0.00261571106733251;62.8575236539845;4.6245047818601E-05
1913;383116.25;0;54;0;3;0.00152046054052079;346.415643707832;0.00149431651951552
1913;383116.3;0;54;0;3;0.00433552093127549;238.069432454274;0.00166081888913719
1913;383116.35;0;54;0;3;0.00391365825668399;88.0666023635523;0.00200286982539106
1913;383116.4;0;54;0;3;0.0021423938061061;337.519292523515;0.000666172534594032
1913;383116.45;0;54;0;3;0.00103756580630721;44.2348078180935;0.001089322194459
1913;383116.5;0;54;0;3;0.00126687745186987;301.797164789239;0.00188858038385232
1913;383116.55;0;54;0;3;0.00175395801031202;265.655151706363;0.000980017439369789
1913;383116.6;0;54;0;3;0.00518460375721494;78.9536706376367;-0.000118650284670509
1913;383116.65;0;54;0;3;0.00189642321880721;306.486201129899;0.00223013539860533
1913;383116.7;0;54;0;3;0.00169529932368063;347.872436330688;0.000902226763770768
1913;383116.75;0;54;0;3;0.0038893194247847;57.8592466821949;0.000413397186265636
1913;383116.8;0;54;0;3;0.00265681346761212;284.725541300223;0.00132177082613987
1913;383116.85;0;54;0;3;0.00438135440039039;88.7410418260263;-0.00245293871618992
1913;383116.9;0;54;0;3;0.00380347941053894;299.391871144733;0.00200333359147167
1913;383116.95;0;54;0;3;0.00126944896655558;49.8906008643552;0.00258518950012697
1913;383117;0;54;0;3;0.00395306255910343;83.2343479149313;0.00182589329907947
1913;383117.05;0;54;0;3;0.00307879737012245;310.091192857851;0.00103560353199559
1913;383117.1;0;54;0;3;0.00699145442115887;72.7091080657337;-0.00169223922760927
1913;383117.15;0;54;0;3;0.000789664511120884;58.7085889435902;0.000979106952387152
1913;383117.2;0;54;0;3;0.00231749269721943;6.6224172558261;0.000572794801530142
1913;383117.25;0;54;0;3;0.00518237927487251;75.9911767619418;-0.000303657824265295
1913;383117.3;0;54;0;3;0.00262128041190338;274.69120583468;0.00139884528899919
1913;383117.35;0;54;0;3;0.00201693981862496;97.2624906264359;0.000155693678470939
1913;383117.4;0;54;0;3;0.00502184075780624;59.7735846282196;0.00164164670562745
1913;383117.45;0;54;0;3;0.00223099841843418;266.964789993195;0.00145855063875881
1913;383117.5;0;54;0;3;0.00574680853714544;75.5371375041559;0.000301507265424835
1913;383117.55;0;54;0;3;0.00077141101446569;13.5482234601696;0.00182740654256907
1913;383117.6;0;54;0;3;0.00298685221977637;87.2288914254911;0.00133251149155782
1913;383117.65;0;54;0;3;0.00802855043362713;93.2004816607114;-0.000319664425439653
1913;383117.7;0;54;0;3;0.002631123038347;247.756086923375;0.00183465515288472
1913;383117.75;0;54;0;3;0.00603736524150821;85.0828302369768;0.000421384126857149
1913;383117.8;0;54;0;3;0.00393948912816536;67.1108376160086;0.00360367070929291
1913;383117.85;0;54;0;3;0.00108210456593152;329.034284796668;0.00142990314137726
1913;383117.9;0;54;0;3;0.00791936434042574;71.6080367075598;0.000736333397011641
1913;383117.95;0;54;0;3;0.000852967649414444;337.93700462131;0.00247468766324905
1913;383118;0;54;0;3;0.00317299362781774;94.981278154994;0.00267926073066406
1913;383118.05;0;54;0;2;0.00395455605744746;68.2860965161906;0.00174485050888302
1913;383118.1;0;54;0;2;0.00225526940373485;270.186043749623;0.00317666256239593
1913;383118.15;0;54;0;2;0.00430450307933889;74.7612824233838;-0.000892102359977771
1913;383118.2;0;54;0;2;0.000143609151865907;51.1669820109814;0.00151522398595944
1913;383118.25;0;54;0;2;0.00222392393136508;271.939766665677;0.000125060932698505
1913;383118.3;0;54;0;2;0.00426450400395693;102.588639757667;0.000634778756157836
1913;383118.35;0;54;0;2;0.00220996518385011;305.86873798921;0.000759929194728279
1913;383118.4;0;54;0;2;0.0022046066794002;96.0057929781042;0.00184364160167629
1913;383118.45;0;54;0;2;0.00545718034012764;88.1460631570913;0.00246205148441974
1913;383118.5;0;54;0;2;0.00283687652207714;266.516679360125;0.000817664731235991
1913;383118.55;0;54;0;2;0.00531839507856103;89.609762903207;0.00063149028780664
1913;383118.6;0;54;0;2;0.00169090554707808;216.757822042339;0.00170441380248103
1913;383118.65;0;54;0;2;0.00171278880481626;141.711208110392;0.00123684950681646
1913;383118.7;0;54;0;2;0.00203338972061694;62.3056065114489;0.000545434929053593
1913;383118.75;0;54;0;2;0.0034662090612645;277.07208099787;0.00130427442858405
1913;383118.8;0;54;0;2;0.00632578399579053;77.2819966531335;-0.00057634326458282
1913;383118.85;0;54;0;2;0.00487818205442597;62.326279238196;0.000376627103502552
1913;383118.9;0;54;0;2;0.00470869436797846;85.2061116268445;0.0012163710759255
1913;383118.95;0;54;0;2;0.00650312218491823;79.1113946199186;0.00165454835450581
