GPSWeek [weeks];GPSSecondsOfWeek [s];Velocity [meter/second]
1913;383114.292999983;0
1913;383114.312999964;0
1913;383114.332999945;0
1913;383114.352999926;0
1913;383114.372999907;0
1913;383114.392999887;0
1913;383114.412999868;0
1913;383114.432999849;0
1913;383114.45299983;0
1913;383114.47300005;0
1913;383114.493000031;0
1913;383114.513000011;0
1913;383114.532999992;0
1913;383114.552999973;0
1913;383114.572999954;0
1913;383114.592999935;0
1913;383114.612999916;0
1913;383114.632999897;0
1913;383114.652999878;0
1913;383114.672999859;0
1913;383114.69299984;0
1913;383114.713000059;0
1913;383114.73300004;0
1913;383114.753000021;0
1913;383114.773000002;0
1913;383114.792999983;0
1913;383114.812999964;0
1913;383114.832999945;0
1913;383114.852999926;0
1913;383114.872999907;0
1913;383114.892999887;0
1913;383114.912999868;0
1913;383114.932999849;0
1913;383114.95299983;0
1913;383114.97300005;0
1913;383114.993000031;0
1913;383115.013000011;0
1913;383115.032999992;0
1913;383115.052999973;0
1913;383115.072999954;0
1913;383115.092999935;0
1913;383115.112999916;0
1913;383115.132999897;0
1913;383115.152999878;0
1913;383115.172999859;0
1913;383115.19299984;0
1913;383115.213000059;0
1913;383115.23300004;0
1913;383115.253000021;0
1913;383115.273000002;0
1913;383115.292999983;0
1913;383115.312999964;0
1913;383115.332999945;0
1913;383115.352999926;0
1913;383115.372999907;0
1913;383115.392999887;0
1913;383115.412999868;0
1913;383115.432999849;0
1913;383115.45299983;0
1913;383115.47300005;0
1913;383115.493000031;0
1913;383115.513000011;0
1913;383115.532999992;0
1913;383115.552999973;0
1913;383115.572999954;0
1913;383115.592999935;0
1913;383115.612999916;0
1913;383115.632999897;0
1913;383115.652999878;0
1913;383115.672999859;0
1913;383115.69299984;0
1913;383115.713000059;0
1913;383115.73300004;0
1913;383115.753000021;0
1913;383115.773000002;0
1913;383115.792999983;0
1913;383115.812999964;0
1913;383115.832999945;0
1913;383115.852999926;0
1913;383115.872999907;0
1913;383115.892999887;0
1913;383115.912999868;0
1913;383115.932999849;0
1913;383115.95299983;0
1913;383115.97300005;0
1913;383115.993000031;0
1913;383116.013000011;0
1913;383116.032999992;0
1913;383116.052999973;0
1913;383116.072999954;0
1913;383116.092999935;0
1913;383116.112999916;0
1913;383116.132999897;0
1913;383116.152999878;0
1913;383116.172999859;0
1913;383116.19299984;0
1913;383116.213000059;0
1913;383116.23300004;0
1913;383116.253000021;0
1913;383116.273000002;0
1913;383116.292999983;0
1913;383116.312999964;0
1913;383116.332999945;0
1913;383116.352999926;0
1913;383116.372999907;0
1913;383116.392999887;0
1913;383116.412999868;0
1913;383116.432999849;0
1913;383116.45299983;0
1913;383116.47300005;0
1913;383116.493000031;0
1913;383116.513000011;0
1913;383116.532999992;0
1913;383116.552999973;0
1913;383116.572999954;0
1913;383116.592999935;0
1913;383116.612999916;0
1913;383116.632999897;0
1913;383116.652999878;0
1913;383116.672999859;0
1913;383116.69299984;0
1913;383116.713000059;0
1913;383116.73300004;0
1913;383116.753000021;0
1913;383116.773000002;0
1913;383116.792999983;0
1913;383116.812999964;0
1913;383116.832999945;0
1913;383116.852999926;0
1913;383116.872999907;0
1913;383116.892999887;0
1913;383116.912999868;0
1913;383116.932999849;0
1913;383116.95299983;0
1913;383116.97300005;0
1913;383116.993000031;0
1913;383117.013000011;0
1913;383117.032999992;0
1913;383117.052999973;0
1913;383117.072999954;0
1913;383117.092999935;0
1913;383117.112999916;0
1913;383117.132999897;0
1913;383117.152999878;0
1913;383117.172999859;0
1913;383117.19299984;0
1913;383117.213000059;0
1913;383117.23300004;0
1913;383117.253000021;0
1913;383117.273000002;0
1913;383117.292999983;0
1913;383117.312999964;0
