GPSWeek [weeks];GPSSecondsOfWeek [s];Solution status (sol stat);Position type (pos type);Latitude (lat) [deg];Longitude (lon) [deg];Height above mean sea level (hgt) [m];Undulation (undulation) [m];Datum ID number (datum id#);Latitude standard deviation (lat σ) [m];Longitude standard deviation (lon σ) [m];Height standard deviation (hgt σ) [m];Base station ID (stn id);Differential age in seconds (diff_age) [s];Solution age in seconds (sol_age) [s];Number of satellites tracked (#SVs);Number of satellites used in solution (#solnSVs);Number of satellites with L1/E1/B1 signals used in solution (#solnL1SVs);Number of satellites with multi-frequency signals used in solution (#solnMultiSVs);Extended solution status (ext sol stat);Galileo and BeiDou signals used mask (Galileo and BeiDou sig mask);GPS and GLONASS signals used mask (GPS and GLONASS sig mask)
1913;314671;0;50;50.1109184489258;8.6610924819299;98.4180836975574;48.2000007629395;61;0.0147792045027018;0.0155411986634135;0.0350213721394539;4095;3;0;13;12;12;11;0;51;48
1913;314671.05;0;50;50.1109184417708;8.66109250800871;98.419279390946;48.2000007629395;61;0.0148158892989159;0.015584391541779;0.0351069122552872;4095;3.04999995231628;0;13;12;12;12;0;51;48
1913;314671.1;0;50;50.1109184525595;8.66109245747916;98.4149359902367;48.2000007629395;61;0.0148520097136498;0.0156272538006306;0.0351915508508682;4095;3.09999990463257;0;13;12;12;12;0;51;48
1913;314671.15;0;50;50.1109184309491;8.66109249156268;98.4122476009652;48.2000007629395;61;0.0136280823498964;0.0145315183326602;0.0330693162977695;4095;2.15000009536743;0;13;12;12;12;0;51;48
1913;314671.2;0;50;50.1109184163099;8.6610925228579;98.4143628701568;48.2000007629395;61;0.0136656304821372;0.0145762711763382;0.0331575199961662;4095;2.20000004768372;0;13;12;12;12;0;51;48
1913;314671.25;0;50;50.110918418104;8.6610925194207;98.4128033425659;48.2000007629395;61;0.0137026347219944;0.0146206142380834;0.0332449078559875;4095;2.25;0;13;12;12;12;0;51;48
1913;314671.3;0;50;50.1109184208626;8.66109248025133;98.41027830448;48.2000007629395;61;0.013739138841629;0.014664544723928;0.0333315581083298;4095;2.29999995231628;0;13;12;12;12;0;51;48
1913;314671.35;0;50;50.1109184242957;8.66109247713348;98.4108548955992;48.2000007629395;61;0.0137751856818795;0.0147080644965172;0.0334175452589989;4095;2.34999990463257;0;13;12;12;12;0;51;48
1913;314671.4;0;50;50.1109184177378;8.66109249305911;98.411273714155;48.2000007629395;61;0.013810820877552;0.0147511754184961;0.0335029512643814;4095;2.40000009536743;0;13;12;12;12;0;51;48
1913;314671.45;0;50;50.1109184192008;8.6610924988805;98.4119789283723;48.2000007629395;61;0.0138460816815495;0.0147938821464777;0.0335878394544125;4095;2.45000004768372;0;13;12;12;12;0;51;48
1913;314671.5;0;50;50.1109184272956;8.66109247749302;98.4126377888024;48.2000007629395;61;0.0138809802010655;0.0148361930623651;0.0336722247302532;4095;2.5;0;13;12;12;12;0;51;48
1913;314671.55;0;50;50.1109184173159;8.66109249963706;98.409863662906;48.2000007629395;61;0.0139155266806483;0.0148781165480614;0.0337561145424843;4095;2.54999995231628;0;13;12;12;12;0;51;48
1913;314671.6;0;50;50.1109184253278;8.66109247863643;98.4097919641063;48.2000007629395;61;0.0139497388154268;0.0149196675047278;0.0338395163416862;4095;2.59999990463257;0;13;12;12;12;0;51;48
