GPSWeek [weeks];GPSSecondsOfWeek [s];Velocity [meter/second]
1913;314670.809999943;0
1913;314670.829999924;0
1913;314670.849999905;0
1913;314670.869999886;0
1913;314670.889999866;0
1913;314670.909999847;0
1913;314670.930000067;0
1913;314670.950000048;0
1913;314670.970000029;0
1913;314670.99000001;0
1913;314671.00999999;0
1913;314671.029999971;0
1913;314671.049999952;0
1913;314671.069999933;0
1913;314671.089999914;0
1913;314671.109999895;0
1913;314671.129999876;0
1913;314671.149999857;0
1913;314671.169999838;0
1913;314671.190000057;0
1913;314671.210000038;0
1913;314671.230000019;0
1913;314671.25;0
1913;314671.269999981;0
1913;314671.289999962;0
1913;314671.309999943;0
1913;314671.329999924;0
1913;314671.349999905;0
1913;314671.369999886;0
1913;314671.389999866;0
1913;314671.409999847;0
1913;314671.430000067;0
1913;314671.450000048;0
1913;314671.470000029;0
1913;314671.49000001;0
1913;314671.50999999;0
1913;314671.529999971;0
1913;314671.549999952;0
1913;314671.569999933;0
1913;314671.589999914;0
1913;314671.609999895;0
1913;314671.629999876;0
1913;314671.649999857;0
1913;314671.669999838;0
1913;314671.690000057;0
1913;314671.710000038;0
1913;314671.730000019;0
1913;314671.75;0
1913;314671.769999981;0
1913;314671.789999962;0
1913;314671.809999943;0
1913;314671.829999924;0
1913;314671.849999905;0
1913;314671.869999886;0
1913;314671.889999866;0
1913;314671.909999847;0
1913;314671.930000067;0
1913;314671.950000048;0
1913;314671.970000029;0
1913;314671.99000001;0
1913;314672.00999999;0
1913;314672.029999971;0
1913;314672.049999952;0
1913;314672.069999933;0
1913;314672.089999914;0
1913;314672.109999895;0
1913;314672.129999876;0
1913;314672.149999857;0
1913;314672.169999838;0
1913;314672.190000057;0
1913;314672.210000038;0
1913;314672.230000019;0
1913;314672.25;0
1913;314672.269999981;0
1913;314672.289999962;0
1913;314672.309999943;0
1913;314672.329999924;0
1913;314672.349999905;0
1913;314672.369999886;0
1913;314672.389999866;0
1913;314672.409999847;0
1913;314672.430000067;0
1913;314672.450000048;0
1913;314672.470000029;0
1913;314672.49000001;0
1913;314672.50999999;0
1913;314672.529999971;0
1913;314672.549999952;0
1913;314672.569999933;0
1913;314672.589999914;0
1913;314672.609999895;0
1913;314672.629999876;0
1913;314672.649999857;0
1913;314672.669999838;0
1913;314672.690000057;0
1913;314672.710000038;0
1913;314672.730000019;0
1913;314672.75;0
1913;314672.769999981;0
1913;314672.789999962;0
1913;314672.809999943;0
1913;314672.829999924;0
1913;314672.849999905;0
1913;314672.869999886;0
1913;314672.889999866;0
1913;314672.909999847;0
1913;314672.930000067;0
1913;314672.950000048;0
1913;314672.970000029;0
1913;314672.99000001;0
1913;314673.00999999;0
1913;314673.029999971;0
1913;314673.049999952;0
1913;314673.069999933;0
1913;314673.089999914;0
1913;314673.109999895;0
1913;314673.129999876;0
1913;314673.149999857;0
1913;314673.169999838;0
1913;314673.190000057;0
1913;314673.210000038;0
1913;314673.230000019;0
1913;314673.25;0
1913;314673.269999981;0
1913;314673.289999962;0
1913;314673.309999943;0
1913;314673.329999924;0
1913;314673.350999832;0
1913;314673.371000052;0
1913;314673.391000032;0
1913;314673.411000013;0
1913;314673.430999994;0
1913;314673.450999975;0
1913;314673.470999956;0
1913;314673.490999937;0
1913;314673.510999918;0
1913;314673.530999899;0
1913;314673.55099988;0
1913;314673.570999861;0
1913;314673.590999842;0
1913;314673.611000061;0
1913;314673.631000042;0
1913;314673.651000023;0
1913;314673.671000004;0
1913;314673.690999985;0
1913;314673.710999966;0
1913;314673.730999947;0
1913;314673.750999928;0
1913;314673.770999908;0
1913;314673.790999889;0
1913;314673.81099987;0
1913;314673.830999851;0
1913;314673.850999832;0
1913;314673.871000052;0
1913;314673.891000032;0
1913;314673.911000013;0
1913;314673.930999994;0
1913;314673.950999975;0
1913;314673.970999956;0
1913;314673.990999937;0
1913;314674.010999918;0
1913;314674.030999899;0
1913;314674.05099988;0
1913;314674.070999861;0
1913;314674.090999842;0
1913;314674.111000061;0
1913;314674.131000042;0
1913;314674.151000023;0
1913;314674.171000004;0
1913;314674.190999985;0
1913;314674.210999966;0
1913;314674.230999947;0
1913;314674.250999928;0
1913;314674.270999908;0
1913;314674.290999889;0
1913;314674.31099987;0
1913;314674.330999851;0
1913;314674.350999832;0
1913;314674.371000052;0
1913;314674.391000032;0
1913;314674.411000013;0
1913;314674.430999994;0
1913;314674.450999975;0
1913;314674.470999956;0
1913;314674.490999937;0
1913;314674.510999918;0
1913;314674.530999899;0
1913;314674.55099988;0
1913;314674.570999861;0
1913;314674.590999842;0
1913;314674.611000061;0
1913;314674.631000042;0
1913;314674.651000023;0
1913;314674.671000004;0
1913;314674.690999985;0
1913;314674.710999966;0
1913;314674.730999947;0
1913;314674.750999928;0
1913;314674.770999908;0
1913;314674.790999889;0
1913;314674.81099987;0
